Go.	ទៅ។
I've got time.	ខ្ញុំមានពេល ។
Is there time?	តើមានពេលទេ ?
It hurts here.	ខ្ញុំឈឺកន្លែងនេះ ។
Mary is a fox.	ម៉ារី ​សិចស៊ី​ណាស់​ ។
Tom went home.	ថម ទៅផ្ទះ ។
We're special.	យើងគឺពិសេស ។
Where are you?	តើអ្នកនៅកន្លែងណា ?
Where are you?	តើនៅកន្លែងណា ?
Where are you?	តើឯងនៅណា ?
Where are you?	តើនៅណាហ្នឹង ?
Where are you?	នៅណាហ្នឹង ?
You are wrong.	អ្នកខុសហើយ ។
Are you hungry?	តើអ្នកឃ្លានទេ ?
Are you hungry?	ឃ្លានអត់ ?
Can I help you?	តើខ្ញុំអាចជួយអ្នកបានអត់ ?
Can I help you?	តើខ្ញុំអាចជួយអីបានទេ ?
Can I help you?	ខ្ញុំជួយអីបានអត់ ?
Do you love me?	តើអ្នកស្រលាញ់ខ្ញុំទេ ?
Do you love me?	តើអូនស្រលាញ់បងហេ៎ ?
Do you love me?	តើបងស្រលាញ់អូនអត់ ?
Go get changed.	ទៅផ្លាស់ខោអាវ។
Good afternoon.	ទិវា​សួស្ដី ។
Happy New Year!	សួស្តី ឆ្នាំថ្មី !
Happy New Year!	រីករាយ ឆ្នាំថ្មី !
Happy New Year!	អបអរសាទរ ចូលឆ្នាំថ្មី !
Have you eaten?	ញ៉ាំបាយហើយនៅ?
I am in London.	ខ្ញុំនៅទីក្រុងឡុងដ៍ ។
I want to live.	ខ្ញុំចង់រស់។
I'd rather die.	ខ្ញុំ​ចង់​ស្លាប់​ជាង​។
I'm exercising.	ខ្ញុំ ហាត់ប្រាណ ។
It smells good!	ក្លិនវាគួរឱ្យឆ្ងាញ់ !
It smells good!	ធំក្លិនគួរឱ្យឆ្ងាញ់ !
It smells good!	ហិតក្លិនគួរឱ្យឆ្ងាញ់ !
It's up to you.	តាម​ចិត្ត​អ្នក​។
Leave me alone!	ទុកខ្ញុំនៅម្នាក់ឯងបានហើយ !
Leave me alone!	ឱ្យខ្ញុំនៅម្នាក់់ឯង !
Leave me alone!	ទុកខ្ញុំនៅស្ងាត់សិន !
My tooth hurts.	ខ្ញុំឈឺធ្មេញ ។
She loves cats.	នាងស្រលាញ់ឆ្មា ។
What about you?	ចុះអូនវិញ?
What about you?	ចុះបងវិញ?
Are you married?	តើអ្នករៀបការហើយ ?
Are you married?	តើលោករៀបការហើយឬនៅ ?
Are you married?	ឯងរៀបការហើយ ?
Cats catch mice.	ឆ្មាចាប់កណ្ដុរ ។
Congratulations!	អបអរសាទរ!
Do you trust me?	តើអ្នកជឿលើខ្ញុំទេ ?
Don't be afraid.	កុំខ្លាច។
Don't be scared.	កុំខ្លាច។
He sounds angry.	គាត់​ហាក់​ដូច​ជា​ខឹង​។
How is it going?	សុខសប្បាយអត់ ?
How old are you?	តើអ្នកមានអាយុប៉ុន្មាន ?
How old are you?	តើមានអាយុប៉ុន្មាន ?
How old are you?	តើអាយុប៉ុន្មានទៅ ?
How rude of you!	ឈ្លើយណាស់ !
I have to sleep.	ខ្ញុំ ត្រូវការដេក ។
I have two cats.	ខ្ញុំមានឆ្មាពីរ ។
I love swimming.	ខ្ញុំ ស្រលាញ់កីឡាហែលទឹក ។
It doesn't hurt.	អត់​ឈឺ​។
My book is here.	សៀវភៅ​ខ្ញុំ​នៅ​ទី​នេះ​។
She adores cats.	នាងស្រលាញ់ឆ្មា ។
There's no time.	អត់​មាន​ពេល ។
This dog is big.	ឆ្កែនេះ គឺធំ ។
Wash the dishes.	លាង​ចាន ។
What time is it?	តើវាម៉ោងប៉ុន្មានហើយ ?
What's her name?	តើគាត់ឈ្មោះអី?
What's his name?	តើគាត់ឈ្មោះអី?
Do you live here?	តើអ្នករស់នៅទីនេះ ?
Do you live here?	តើលោករស់នៅនេះ ?
Do you live here?	រស់នៅទីនេះមែន ?
He died suddenly.	គាត់ស្លាប់ដោយចៃដន្យ ។
How tall you are!	អ្នក​ខ្ពស់​ណាស់ !
I am eating rice.	ខ្ញុំ​កំពុង​ញ៉ាំ​បាយ ។
I'm not a doctor.	ខ្ញុំមិនមែនជា គ្រូពេទ្យទេ ។
It's worth a try.	សាកមើលក៏បានដែរ ។
It's worth a try.	សាកមើលគ្រាន់បើជាង ។
Let's play cards.	តោះ យើងលេងបៀរ ។
She smiled sadly.	នាងញញឹមលាយលំនិងទុក្ខដែរ ។
There's no water.	អត់​មាន​ទឹក​។
Tom is with Mary.	ថម នៅ​ជាមួយ ម៉ារី​ ។
Tom loves soccer.	ថម ស្រលាញ់ កីឡាបាល់ទាត់ ។
What did you say?	ថាម៉េច?
What do you want?	តើអ្នកចង់បានអ្វី ?
What do you want?	តើចង់បានអីហ្នឹង ?
What do you want?	តើឯងចង់បានអី ?
What do you want?	ចង់បានអី ?
What is his name?	តើគាត់ឈ្មោះអី?
What's your name?	តើ​អ្នក​ឈ្មោះ​អ្វី​?
What's your name?	អ្នក​ឈ្មោះ​អី​?
What's your name?	តើគាត់ឈ្មោះអី?
What's your name?	តើ​លោក​ឈ្មោះ​អី ?
Do you understand?	យល់អត់?
Don't do it again.	កំុធ្វើអញ្ចឹងទៀត។
Don't you like it?	អត់​ចូលចិត្ត​វា​ទេ​?
Her eyes are blue.	ភ្នែករបស់នាងពណ៌ខៀវ ។
I don't want meat.	ខ្ញុំ​មិន​ចង់​បាន​សាច់​ទេ ។
I have a headache.	ខ្ញុំឈឺឡាតែត ។
I have a headache.	ខ្ញុំឈឺក្បាល ។
I have a question.	ខ្ញុំមានសំនួរ។
I have a question.	ខ្ញុំមានសំណួរ។
I have a question.	ខ្ញុំមានសំនួរមួយ។
I have a question.	ខ្ញុំមានសំណួរមួយ។
I know a shortcut.	ខ្ញុំស្គាល់ផ្លូវកាត់ ។
It's for tourists.	គឺសម្រាប់ភ្ញៀវទេសចរណ៍។
It's not worth it.	វាមិនលើគ្នាទេ ។
Please wait a bit.	សូមចាំបន្តិច ។
Thanks for coming.	អរគុណ ដែលបានមកលេង ។
The cup was empty.	ពែងនេះគឺទទេស្អាត។
The roses are red.	កុលាប ពណ៌ក្រហម។
This is difficult.	អា៎នេះពិបាក។
Tom returned home.	ថម ត្រឡប់ទៅផ្ទះវិញ ។
What do you think?	តើឯងគិតយ៉ាងណា ?
What is your name?	តើគាត់ឈ្មោះអី?
What is your name?	តើ​លោក​ឈ្មោះ​អី ?
What's the matter?	មាន​រឿង​អី​?
Where do you live?	តើអ្នករស់នៅឯណា ?
Where do you live?	តើលោករស់នៅឯណា ?
Where do you live?	តើអ្នករស់កន្លែងណា ?
Where do you work?	តើធ្វើការនៅណា​?
Where do you work?	ធ្វើការនៅណា​?
Where is the food?	ម្ហូប នៅឯណា ?
Did she sleep well?	តើនាងគេងបានល្អហេ ?
Does it taste okay?	តើរស់ជាតិយ៉ាងម៉េចដែរ?
I don't have a cat.	ខ្ញុំអត់មានឆ្មាទេ។
I don't have a cat.	ខ្ញុំអត់មានឆ្មា។
I don't understand.	ខ្ញុំ មិនយល់ទេ ។
I don't understand.	អត់យល់ ។
I have a toothache.	ខ្ញុំឈឺធ្មេញ ។
I like Korean food.	ខ្ញុំចូលចិត្ត ម្ហូបកូរ៉េ ។
I need to be alone.	ខ្ញុំត្រូវការនៅម្នាក់ឯង ។
I want to be alone!	ខ្ញុំចង់នៅម្នាក់ឯង !
I'll be seeing you.	ថ្ងៃក្រោយជួបគ្នា។
I'll see you later.	ថ្ងៃក្រោយជួបគ្នា។
I'm sorry I'm late.	សុំទោសដែលខ្ញុំមកយឺត ។
It's not important.	អត់​សំខាន់​ទេ​។
It's not important.	មិន​សំខាន់​ទេ​។
My mother is angry.	ម៉ាក់​ខ្ញុំ​ខឹង​។
There's no problem.	​អត់បញ្ហា។
Tom likes swimming.	ថម ចូលចិត្តហែលទឹក។
What's the problem?	មាន​បញ្ហា​អី​?
Where are you from?	តើ​អ្នក​ជនជាតិ​អ្វី​?
Where do I go then?	អញ្ចឹង​ខ្ញុំ​ទៅ​ណា​?
Why are you crying?	តើហេតុអី្វអ្នកយំ ?
Why are you crying?	តើហេតុអីអូនយំ ?
Why are you crying?	តើមូលហេតុអីជាអ្នកយំ ?
Why are you crying?	ហេតុអីបានជាអូនយំ ?
Why are you crying?	ហេតុអីបានយំ ?
You like elephants.	អ្នកចូលចិត្តដំរី ។
Do you like bowling?	អ្នក​ចូលចិត្ត​លេង​បោះប៊ូល​ទេ​?
Don't do that again.	កុំធ្វើបែបហ្នឹងទៀត ។
Freedom is not free.	សេរីភាព​មិន​មែន​ហ៊្វ្រី​ទេ​។
I do not have a cat.	ខ្ញុំអត់មានឆ្មាទេ។
I do not have a cat.	ខ្ញុំអត់មានឆ្មា។
I have a dictionary.	ខ្ញុំមានវចនានុក្រម។
I know you're lying.	ខ្ញុំដឹងថាអ្នកកហុក ។
I will be back soon.	ខ្ញុំ នឹងមកវិញលឿន ។
I will be back soon.	ខ្ញុំ នឹងមកវិញឆាប់ៗនេះ ។
I will be back soon.	ខ្ញុំ នឹងត្រលប់មកឆាប់ៗនេះ ។
I'll see you around.	ថ្ងៃក្រោយជួបគ្នា។
I'm a light sleeper.	ខ្ញុំ​គឺជាអ្នក​គេង​ល្វាស ។
I'm fully recovered.	ខ្ញុំ​បាន​ជា​វិញ​ទាំងស្រុង​។
I've got a question.	ខ្ញុំមានសំនួរ។
I've got a question.	ខ្ញុំមានសំណួរ។
I've got a question.	ខ្ញុំមានសំនួរមួយ។
I've got a question.	ខ្ញុំមានសំណួរមួយ។
It snowed yesterday.	ម្សិលមិញ​ធ្លាក់​ព្រិល​។
Kids like ice cream.	ក្មេងៗ ចូលចិត្តការ៉េម ។
Let's start working.	តោះយើងចាប់ផ្តើមធ្វើការ ។
The law was changed.	ច្បាប់​ត្រូវ​បាន​ប្តូរ​។
This was my mistake.	នេះ​ជា​កំហុស​របស់​ខ្ញុំ ។
This was my mistake.	Anih ciə kɑmhoh bɑh ɲom.
Tom drinks too much.	ថម ផឹកស្រាច្រើនពេក ។
Tom drinks too much.	Tom pək sea cəən pek.
Tom is good-hearted.	ថម ចិត្តល្អ ។
What are you saying?	តើនិយាយអីហ្នឹង ?
What are you saying?	តើលោកកំពុងនិយាយអី ?
What smells so good?	តើឈ្ងុយអីគេហ្នឹង ?
Where are you going?	តើលោកត្រូវការទៅណា ?
Where are you going?	តើឯងទៅណាហ្នឹង ?
Where are you going?	តើអ្នកទៅកន្លែងណា ?
Where are you going?	តើលោកត្រូវទៅណា ?
Where is the toilet?	បង្គន់​នៅ​ណា​?
Where's my suitcase?	វ៉ាលីស៍ខ្ញុំនៅណា?
Who wrote this book?	នរណា​បាន​និពន្ធ​សៀវភៅ​នេះ​?
Your friend is here.	ពួកម៉ាក​របស់​អ្នក​នៅ​ទីនេះ​។
Are you volunteering?	តើ​អ្នក​កំពុង​ស្ម័គ្រចិត្ត​ឬ​?
I'll catch you later.	ថ្ងៃក្រោយជួបគ្នា។
I'm looking for work.	ខ្ញុំរកការងារធ្វើ។
I've got a toothache.	ខ្ញុំឈឺធ្មេញ ។
It doesn't bother me.	ខ្ញុំមិនប្រកាន់ទេ ។
It is already eleven.	ម៉ោង​ដប់មួយ​ហើយ​។
It was hot yesterday.	ម្សិលមិញ​ក្តៅ​ណាស់​។
Please wait a moment.	សូមចាំបន្តិច ។
She has a good heart.	នាង​មាន​ចិត្ត​ល្អ​។
Thank you for coming.	អរគុណ ដែលបានមកលេង ។
The car turned right.	ឡានបត់ស្ដាំ ។
Tom is annoying Mary.	ថម កំពុង​រំខាន ម៉ារី ។
Tom needs some sleep.	ថម ត្រូវការពេលគេងបន្តិច ។
Where is the problem?	បញ្ហា​នៅ​ណា​?
Where's the bathroom?	បន្ទប់ទឹកនៅណា?
Where's the restroom?	បន្ទប់ទឹកនៅណា?
You aren't my mother.	អ្នកមិនមែនជាម្ដាយខ្ញុំទេ ។
Africa is a continent.	អាហ្វ្រិក គឺជាទ្វីបមួយ។
Do not be so critical.	កុំរិះគន់គេពេក ។
Everyone loves sports.	មនុស្សទាំងអស់សុទ្ធតែ ស្រលាញ់ កីឡា ។
He will come tomorrow.	គាត់មកនៅថ្ងៃស្អែក ។
He will come tomorrow.	ថ្ងៃស្អែក គាត់នឹងមោ ។
How long did you stay?	តើអ្នកបានស្នាក់នៅរយៈពេលប៉ុន្មាន ?
I usually get up at 8.	ជាធម្មតាខ្ញុំក្រោកពីគេងនៅម៉ោង ៨ ។
I want to go with you.	ខ្ញុំ​ចង់​ទៅ​ជាមួយ​អ្នក​។
I'm looking for a job.	ខ្ញុំរកការងារធ្វើ។
She's taller than him.	នាងខ្ពស់ជាងគាត់។
Where are you staying?	ស្នាក់នៅណា?
Where is the bathroom?	បន្ទប់ទឹកនៅណា?
Where is the restroom?	បន្ទប់ទឹកនៅណា?
He's probably sleeping.	គាត់ ប្រហែលកំពុងដេក ។
His handwriting is bad.	អក្សរ​សរសេរ​ដៃ​របស់​គាត់​អាក្រក់​។
I am a college student.	ខ្ញុំ​គឺ​និស្សិត​។
I don't have any money.	ខ្ញុំមិនមានលុយទេ ។
I don't have any money.	ខ្ញុំអត់លុយទេ ។
I don't speak Japanese.	ខ្ញុំ​អត់​និយាយ​ភាសា​ជប៉ុន​ទេ​។
I promise to work hard.	ខ្ញុំសន្យាថាខំធ្វើការ ។
I want to learn karate.	ខ្ញុំ ចង់រៀនក្បាច់គុន ការ៉ាតេដូរ ។
Tom can sleep anywhere.	ថម អាចដេកកន្លែងណាក៏បាន ។
Tom has three children.	ថម មាន​កូន​បី​នាក់​។
Tom is a heavy sleeper.	ថម គឺជា​អ្នក​គេង​ស្កប់ស្កល់ ។
I don't have much money.	ខ្ញុំមិនមានលុយច្រើនទេ ។
I need to be left alone.	ខ្ញុំត្រូវការនៅម្នាក់ឯង ។
She is already sleeping.	នាង កំពុងគេងហើយ ។
What are you looking at?	កំពុងមើលអីហ្នឹង?
What do you want to buy?	ចង់ទិញអី?
What do you want to eat?	តើអូនចង់ញ៉ាំអី ?
What do you want to eat?	ចង់ញ៉ាំអី?
Where is the guesthouse?	ផ្ទះសំណាក់នៅណា?
Do we need anything else?	តើយើងត្រូវការអីទៀតទេ ?
He speaks five languages.	Goat yiəy peam pʰiəsaa.
He speaks five languages.	គាត់​និយាយ​ប្រាំ​ភាសា ។
How could you think that?	តើអ្នកអាចគិតថាយ៉ាងម៉េចដែរ ?
I know that you're lying.	ខ្ញុំដឹងថាអ្នកកហុក ។
I'll be seeing you later.	ថ្ងៃក្រោយជួបគ្នា។
The book is on the table.	សៀវភៅ គឺនៅលើតុ ។
The book is on the table.	សៀវភៅនៅលើតុ ។
The book is on the table.	សៀវភៅទុកលើតុ ។
The room has two windows.	បន្ទប់​នេះ​មាន​បង្អួច​ពីរ ។
Tom attended the wedding.	ថម ញ៉ាំការ ។
Tom felt a little guilty.	ថម​មាន​ទោស​តិច​។
Which sports do you like?	តើកីឡាអីដែលឯងចូលចិត្ត ?
He speaks French fluently.	គាត់និយាយបារាំងញាប់ ។
I don't understand at all.	ខ្ញុំ អត់យល់សោះ ។
I heard something outside.	ខ្ញុំ​បាន​ឮ​សំឡេង​អ្វី​មួយ​នៅ​ខាង​ក្រៅ​។
I usually get up at eight.	ជាធម្មតាខ្ញុំក្រោកពីគេងនៅម៉ោង ៨ ។
I'm sure you're very busy.	ខ្ញុំប្រាកដថា អ្នករវល់ណាស់ ។
Is it OK if I go in jeans?	តើ​វា​មិន​អី​ទេ​បើ​ខ្ញុំ​ទៅ​ដោយ​ស្លៀក​ខោ​កាប៊ូយ​?
The king abused his power.	ស្តេចលោភនឹងអំណាច​ ។
The matter is all settled.	រឿងនេះត្រូវបានផ្សះផ្សារួចហើយ ។
Tom had Mary wash the car.	ថម ឱ្យ ម៉ារី លាង​ឡាន​។
Tom put on his sunglasses.	ថម ពាក់​វ៉ែនតា​របស់​គាត់ ។
He is very a dangerous man.	គាត់ជាបុរសដែលគួរឲ្យគ្រោះថ្នាក់ណាស់ ។
He speaks Chinese fluently.	គាត់និយាយចិនញាប់ ។
He speaks English fluently.	គាត់និយាយអង់គ្លេសញាប់ ។
I think Tom killed himself.	ខ្ញុំគិតថា ថម សម្លាប់ខ្លួន ។
It's late already. Go home.	ឥឡូវល្ងាចហើយ ទៅទះសិនចុះ ។
What are you talking about?	តើអ្នកកំពុងនិយាយអំពីអ្វី ?
What are you talking about?	និយាយរឿងអី ?
He may be on the next train.	ប្រហែលជាគាត់ជិះរថភ្លើងជើងក្រោយ ។
There's a full moon tonight.	យប់នេះមានព្រះច័ន្ទរះពេញណា ។
Today we have a lot of food.	ថ្ងៃនេះយើង មានម្ហូបច្រើន។
Tom wants to eat fried rice.	ថម ចង់ញ៉ាំបាយឆា ។
What more could one ask for?	យើងត្រូវការអីទៀត ម៉េច ?
What sport do you like best?	តើកីឡាអីដែលឯងចូលចិត្ត ?
Do you want something to eat?	ចង់ញ៉ាំអីអត់ ?
Don't forget to bring it, OK?	កុំភ្លេចយកមកផងណា !
I don't want you to kill Tom.	ខ្ញុំអត់ចង់ឱ្យអ្នកសម្លាប់ ថម ទេ ។​
I'm very disappointed in you.	ខ្ញុំខកចិត្តអ្នកណាស់ ។
The king crushed his enemies.	ស្តេចផ្ចាញ់នឹងសត្រូវ ។
The paper is under the table.	ក្រដាសនៅក្រោមតុ ។
"Thank you." "You're welcome."	«អរគុណ» «អត់អីអេ៎»
I don't have any money at all.	ខ្ញុំអត់មានលុយសោះ ។
I don't know any martial arts.	ខ្ញុំ អត់ចេះក្បាច់គុនអីទេ ។
Is it you who'll buy the food?	តើឯងជាអ្នកទិញម្ហូប ?
She is married to a foreigner.	នាង​បាន​រៀបការ​ជាមួយ​ជន​បរទេស​។
She is married to an American.	នាង​បាន​រៀបការ​ជាមួយ​ជនជាតិ​អាមេរិក​។
The king governed the country.	ស្តេច​បាន​គ្រប់គ្រង​ប្រទេស​។
We all know that you're angry.	យើងទាំងអស់ដឹងហើយថា ឯងខឹង ។
English is spoken in Singapore.	ភាសាអង់គ្លេស​ត្រូវ​បាន​និយាយ​នៅ​ប្រទេស​សិង្ហបុរី​។
I didn't want to humiliate Tom.	ខ្ញុំ​មិន​ចង់​ធ្វើ​ឱ្យ ថម អាម៉ាស់​មុខ​ទេ​។
I didn't want to humiliate Tom.	ខ្ញុំ​មិន​មាន​បំណង ធ្វើ​ឱ្យ ថម​អាម៉ាស់​មុខ​ទេ​។
Please do not try this at home.	កុំសាកល្បងធ្វើបែបនេះនៅផ្ទះ ។
The children are already tired.	ក្មេង​ៗ ​គឺ​អស់​កំលាំង​ហើយ ​។
Tom fell off of his motorcycle.	ថម ដួលម៉ូតូ ។
We'll share our food with them.	យើងចែក ម្ហូបទៅពួកគេ ។
Would you come with me, please?	ទៅ​ជា​មួយ​ខ្ញុំ​បាន​ទេ​?
You have to go to the hospital.	អ្នក​ត្រូវ​ទៅ​មន្ទីរពេទ្យ​។
Do you know who wrote this book?	តើ​អ្នក​ដឹង​ថា​នរណា​បាន​និពន្ធ​សៀភៅ​នេះ​?
My older brother has a mustache.	បងញុំមានពុកមាត់ ។
The company employs 500 workers.	ក្រុមហ៊ុន​ជួល​បុគ្គលិក ៥០០ នាក់ ។
The company employs 500 workers.	Kɑmhun cuul mnuh peam hɔɔy neak.
The design is quite interesting.	ការរចនាឡើង គួរអោយចាប់អារម្មណ៍គួរសម ។
They're preparing a meal for us.	ពួកគេរៀបចំបាយទឹកសំរាប់យើង ។
Tom thought that was a bad idea.	ថម គិតថា នោះគឺជាគំនិតដ៏អាក្រក់ ។
I love you more than you love me.	ខ្ញុំ​ស្រលាញ់​អ្នក​ខ្លាំង​ជាង​អ្នក​ស្រលាញ់​ខ្ញុំ​។
I only speak a little Vietnamese.	ខ្ញុំ​និយាយ​ភាសា​វៀតណាម​បាន​តែ​តិច​តួច​ប៉ុណ្ណោះ​ ។
The lake is about 25 meters deep.	បឹង​នេះ​មាន​ជំរៅ​ប្រហែល 25 ម៉ែត្រ​។
This is a difficult math problem.	មួយ​នេះ​គឺជា​ចំណោត​នៃ​គណិតវិទ្យា​ដ៏​ពិបាក ។
We just ate sushi and drank beer.	ពួកយើង​ទើបតែ​ញ៉ាំ​ស៊ូស៊ី និង​ផឹក​ស្រាបៀរ​។
You may choose any book you like.	អ្នក​អាច​ជ្រើសរើស​សៀវភៅ​មួយ​ណា​ដែល​អ្នក​ចូលចិត្ត​បាន​។
Do you want me to get rid of this?	តើ​អ្នក​ចង់​ឱ្យ​ខ្ញុំ​ហ្នឹង​បោះចោល​អ្វី​មួយ​នេះ​ឬ​?
Don't worry about making mistakes.	កុំ​ព្រួយ​បារម្ភ​ពី​ការ​ធ្វេី​កំហុស​។
I usually get up at eight o'clock.	ជាធម្មតាខ្ញុំក្រោកពីគេងនៅម៉ោង ៨ ។
Our class has forty-five students.	ថ្នាក់យើង មានសិស្ស សែសិបប្រាំនាក់ ។
I think it's somewhere around here.	ខ្ញុំ​គិត​ថា​វា​នៅ​កន្លែង​ណា​មួយ​ក្បែរ​ៗ​នេះ​។
That child caused a lot of trouble.	កូន​គ្មេង​នោះ​បាន​បង្ករ​បញ្ហា​ច្រើន​។
Tom arrived at the party with Mary.	ថម មក​ដល់​ពិធីជប់លៀង​ជាមួយ ម៉ារី​ ។
Tom isn't worried about his grades.	ថម អត់បារម្ភរឿងចំណាត់ថ្នាក់គាត់ទេ។
Tom isn't worried about his grades.	ថម អត់ខ្វល់អំពីចំណាត់ថ្នាក់គាត់ទេ។
I thought I heard something outside.	ខ្ញុំ​បាន​គិត​ថា ខ្ញុំ​បាន​ឮ​សំឡេង​អ្វី​មួយ​នៅ​ខាង​ក្រៅ​។
This food doesn't taste good at all.	ម្ហូបនេះ មិនឆ្ងាញ់សោះ ។
We were certain of winning the game.	យើង​បាន​ប្រាកដ​ថា យើង​នឹង​ឈ្នះ​ល្បែង​នេះ​។
You may bring whoever wants to come.	នរណាចង់ម៉ោ នាំម៉ោក៏បានដែរ ។
Eat more, or you won't gain strength.	ញ៉ាំឱ្យច្រើន បើមិនអញ្ចឹង អ្នកអត់មានកំលាំងទេ ។
I don't have anything to give to you.	ខ្ញុំគ្មានអ្វីឱ្យអ្នកទេ ។
I don't know anything about his past.	ខ្ញុំអត់ដឹងអីទាំងអស់អំពីរឿងអតីតកាលរបស់គាត់ ។
I don't know anything about his past.	ខ្ញុំអត់ដឹងអីផងអំពីអតីតកាលរបស់គាត់ ។
