Hello!	Sveiki!
Were you crying?	Vai tu raudāji?
What do you say?	Ko jūs sakāt?
He kept his word.	Viņš turēja savu vārdu.
I dislike coffee.	Man nepatīk kafija.
I drink to relax.	Es dzeru lai relaksētos.
I had to go back.	Man vajadzēja iet atpakaļ.
I like them both.	Man patīk viņi abi.
I play the piano.	Es spēlēju klavieres.
I wrote a letter.	Es uzrakstīju vēstuli.
I'm really sorry.	Man ir ļoti žēl.
It's just a cold.	Tā ir tikai saaukstēšanās.
Let's have lunch.	Ēdīsim pusdienas!
No one will know.	Neviens nezinās.
The line is busy.	Līnija ir aizņemta.
This is above me.	Tas ir pāri manām spējām.
Tom is an orphan.	Toms ir bārenis.
Tom is angry now.	Toms ir dusmīgs.
Tom kept running.	Toms turpināja skriet.
Tom kept sighing.	Toms turpināja dziedāt.
Tom kept singing.	Toms turpināja dziedāt.
Tom kept smiling.	Toms turpināja smaidīt.
Tom kept staring.	Toms turpināja lukoties.
Tom kept staring.	Toms turpināja skatīties.
Tom kept talking.	Toms turpināja runāt.
What could it be?	Kas tas varētu būt?
Whose turn is it?	Kura kārta ir?
You must join me.	Tev vajag man piebiedroties.
You should sleep.	Tev vajadzētu gulēt.
You'll stay here.	Tu paliksi šeit.
You're in danger.	Jūs esat briesmās.
Are you surprised?	Vai tu esi pārsteigts?
Give me your book.	Iedod man savu grāmatu!
How are you going?	Kā jums klājas?
I didn't even ask.	Es pat nejautāju.
I hope we find it.	Es ceru, ka mēs to atradīsim.
I need to find it.	Man vajag to atrast.
I prefer comedies.	Es dodu priekšroku komēdijām.
I'll set you free.	Es tevi atbrīvošu.
I'll set you free.	Es jūs atbrīvošu.
It's not my fault.	Tā nav mana vaina.
Life is enjoyable.	Dzīve ir patīkama.
My father is busy.	Mans tēvs ir aizņemts.
Now, that's funny.	Lūk, tas bija smieklīgi.
October was worse.	Oktobris bija slikts.
Shouldn't we help?	Vai mums nevajadzētu palīdzēt?
The pizza is here.	Pica ir klāt.
They are our cars.	Tās ir mūsu mašīnas.
This is Tom's cat.	Šis ir Toma kaķis.
Tom is at the bar.	Toms ir pie bāra.
Tom is behind you.	Toms ir aiz tevis.
Tom returned fire.	Toms šāva pretīm.
Tom returned home.	Toms atgriezās mājās.
Tom won't find me.	Toms mani neatradīs.
Tom won't find us.	Toms mūs neatradīs.
Tom won't help me.	Toms man nepalīdzēs.
Tom won't stop me.	Toms mani neapturēs.
Tom's dog is dead.	Toma suns ir miris.
Were you prepared?	Jūs bijāt gatavi?
When will Tom eat?	Kad Toms ēdīs?
Will Tom help you?	Vai Toms tev palīdzēs?
Will you kiss Tom?	Vai tu noskūptīsi Tomu?
Will you warn Tom?	Vai tu brīdināsi Tomu?
You can wait here.	Tu vari gaidīt šeit.
You deserved that.	Tu to biji pelnījis.
All apples are red.	Visi āboli ir sarkani.
Can you forgive me?	Vai vari man piedot?
Do you have a plan?	Vai tev ir plāns?
Hand me that phone.	Paspiedz man to telefonu.
Here are your bags.	Šeit ir jūsu somas.
How did he find us?	Kā viņš mūs atrada?
I brought you this.	Es tev atnesu šo.
I don't have a cow.	Man nav govs.
I entered her room.	Es iegāju viņas istabā.
I found a good job.	Es atradu labu darbu.
I haven't paid yet.	Es vēl neesmu samaksājis.
I just sold my car.	Es tikko pārdevu savu mašīnu.
I left Tom at home.	Es atstāju Tomu mājās.
I like candlelight.	Man patīk sveču gaisma.
I live near a park.	Es dzīvoju netālu no parka.
I need a corkscrew.	Man vajag korķviļķi.
I never drink beer.	Es nekad nedzeru alu.
I'll find somebody.	Es kādu atradīšu.
I'm Tom's neighbor.	Es esmu Toma kaimiņš.
Is this book yours?	Vai šī grāmata ir tava?
It really happened.	Es patiešām esmu laimīgs.
It's now your turn.	Tagad ir tava kārta.
Let me pay tonight.	Ļauj man spēlēt šovakar.
She has seven sons.	Viņai ir septiņi dēli.
Tom has passed out.	Toms ir atslēdzies.
Tom is a great kid.	Toms ir labs puika.
Tom is a smart kid.	Toms ir gudrs zēns.
Tom is about to go.	Toms tulīt ies.
Tom is at the door.	Toms ir pie durvīm.
Tom is coming back.	Toms atgriezīsies.
Tom kept screaming.	Toms turpināja kliegt.
Tom might be upset.	Toms varētu būt apbēdināts.
Tom said goodnight.	Toms pateica ar labunakti.
Tom said something.	Toms pateica kautko.
Tom stayed outside.	Toms palika ārā.
Wait just a moment.	Pagaidi mirkli.
We're just friends?	Mēs esam tikai draugi?
What is it made of?	No kā tas ir izgatavots?
Where will I sleep?	Kur es gulēšu?
You've lost weight.	Tu pazaudēji svaru.
Are these your skis?	Šīs ir tavas slēpes?
Do you like cycling?	Vai tev patīk riteņbraukšana?
He has a loud voice.	Viņam ir skaļa balss.
He seemed to be ill.	Viņš izskatījās saslimis.
I am sad to hear it.	Man ir skumji to dzirdēt.
I bought milk today.	Es šodien nopirku pienu.
I don't have a list.	Man nav saraksta.
I don't like flying.	Man nepatīk lidot.
I have to go to bed.	Man vajag iet gulēt.
I know what I'll do.	Es zinu, ko es darīšu.
I need some hangers.	Man vajag dažus pakaramos.
I painted the house.	Es nokrāsoju māju.
I sent you a letter.	Es tev nosūtīju vēstuli.
I think you're nice.	Es domāju, ka tu esi jauks.
I'm tired of losing.	Es esmu noguris no zaudēšanas.
I'm worried for you.	Es esmu noraizējies par tevi.
I've never hurt Tom.	Es nekad neesmu sāpinājis Tomu.
I've never hurt Tom.	Es nekad neesmu sāpinājusi Tomu.
It is white as snow.	Tas ir balts kā sniegs.
Keep away from that.	Turies pa gabalu no tā.
May I ask your name?	Vai es varētu pajautāt kā tevi sauc.
My dad will kill me.	Mans tēvs mani nogalinās.
Please give me that.	Lūdzu iedod man to.
Read the book aloud.	Lasi grāmatu skaļi.
That's an imitation.	Tā ir imitācija.
That's not my fault.	Tā nav mana vaina.
That's your opinion.	Tā ir tava izvēle.
The news isn't good.	Ziņas nav labas.
They aren't like us.	Viņi nav tādi kā mēs.
They really did win.	Viņi tiešām neuzvarēja.
Tom can't fire Mary.	Toms nevar atlaist Mariju.
Tom is back in town.	Toms ir atgriezies.
Tom is barely alive.	Toms ir knapi dzīvs.
Tom is disappointed.	Toms ir vīlies.
Tom let Mary escape.	Toms ļāva Marijai aizmukt.
Tom often says that.	Toms bieži to saka.
Tom rushed upstairs.	Toms steidzās aukšup pa kapnēm.
Tom sat impatiently.	Toms apsēdās uzreiz.
We'll send somebody.	Mēs kādu aizsūtīsim.
We're still nervous.	Mēs vēl esam nervozi.
We're trying to win.	Mēs mēģinam uzvarēt.
What did you answer?	Ko tu atbildēji?
Where's Tom's watch?	Kur ir Toma pulkstenis?
You don't work here.	Tu šeit nestrādā.
You have bad breath.	Tev ir slikta elpa.
Call Tom immediately.	Zvani Tomam nekavējoties.
Go and see who it is.	Ej un paskaties kas tas ir.
How many do you want?	Cik cik daudz tu gribi?
I forget who said it.	Es aizmirsu kurš to teica.
I know that he knows.	Es zinu, ka viņš zin.
I still think of Tom.	Es aizvien domāju par Tomu.
I wasn't too worried.	Es nebiju parāk uztraucies.
I went out by myself.	Es izgāju viens pacs.
I wish I were famous.	Es vēlos kaut es būtu slavens.
I won't eat anything.	Es neēdīšu neko.
I won't sing tonight.	Es šonakt nedziedāšu.
I'll let you do that.	Es tev atļauju to darīt.
I'm already a father.	Es jau esmu tēvs.
I'm happy to hear it.	Es priecājos to dzirdēt.
It's a stupid system.	Tā ir stulba sistēma.
It's an easy victory.	Tā ir viegla uzvara.
Look at that red car.	Paskaties uz to sarkano mašīnu.
Please lock the safe.	Lūdzu aizslēdz seifu.
They resumed walking.	Viņi turpināja iet.
Tom is a good friend.	Toms ir labs draugs.
Tom is already there.	Toms jau ir šeit.
Tom is an old friend.	Toms ir mans vecs draugs.
Tom needed your help.	Tomam vajag tavu palīdzību.
Tom resumed speaking.	Toms atsāka runāt.
Tom wore a straw hat.	Toms valkāja salmu cepuri.
We can't give up now.	Mēs nevaram padoties.
We did nothing wrong.	Mēs neizdarījām neko sliktu.
We didn't do a thing.	Mēs neko nedarījām.
We need your support.	Mums vajag jūsu atbalsu.
When's your birthday?	Kad ir tava dzimšanas diena?
Where is the problem?	Kur ir problēma?
Why should they hide?	Kāpēc viņiem būtu jāslēpjas?
Yesterday was Sunday.	Vakar bija Svētdiena.
Your son is a genius.	Tavs dēls ir ģēnijs.
Your son is a genius.	Jūsu dēls ir ģēnijs.
Do you need this book?	Vai tev vajag šo grāmatu?
Does Tom have an iPad?	Vai Tomam ir iPad?
Everyone else does it.	Visi citi to dara.
How long did you stay?	Cik ilgi tu paliki?
I didn't want to lose.	Es negribēju zaudēt.
I know Tom lied to us.	Es zinu, ka Toms mums sameloja.
I know what Tom likes.	Es zinu kas Tomam patīk.
I met her an hour ago.	Es viņu satiku pirms stundas.
I need a box of nails.	Man vajag naglu kasti.
I need to feed my dog.	Man ir jāpabaro mans suns.
I usually get up at 8.	Es parasti ceļos astoņos.
I'd like to know more.	Es gribētu uzzināt vairāk.
I'll show you my room.	Es tev parādīšu savu istabu.
I'll tell you a story.	Es tev pastāstīšu stāstu.
I'm sure I'll do that.	Esmu pārliecināts, ka es to izdarīšu.
Is your daughter here?	Vai tava meita ir šeit.
It seems warm outside.	Šķiet ka ārā ir silts.
Let's not go to class.	Neiesi uz klasi.
That's good, isn't it?	Tas ir labi, vai ne?
This is going too far.	Tas ir aizgājis par tālu.
Tom appeared confused.	Toms izskatījās apmulsis.
Tom doesn't live here.	Toms šeit nedzīvo.
Tom gave me that book.	Toms man iedeva to grāmatu.
Tom has a good excuse.	Tomam ir labs attaisnojums.
Tom has good eyesight.	Tomam ir laba redze.
Tom hung up the phone.	Toms nolika klausuli.
Tom is at the airport.	Toms ir pie lidostas.
Tom resuscitated Mary.	Toms atdzīvināja Mariju.
We climbed to the top.	Mēs uzkāpām līdz virsotnei.
Who's Tom looking for?	Ko Toms meklē?
You always seem tired.	Tu vienmēr izskaties noguris.
Can you close the door?	Vai tu vari aizvērt durvis?
Do you come here often?	Vai tu šeit nāc bieži?
Has something happened?	Vai kaut kas ir noticis?
He can't walk any more.	Viņš vairs nevar pastaigāt.
He didn't even read it.	Viņš pat to neizlasīja
I can't help you today.	Es tev šodien nevaru palīdzēt.
I don't agree with him.	Es viņam nepiekrītu.
I don't have any plans.	Man nav nekādu plānu.
I don't know the cause.	Es nezinu iemeslu.
I hope that it'll work.	Es ceru, ka tas strādās.
I never had much money.	Man nekad nav bijis daudz naudas.
I was happy I did that.	Es biju priecīgs, ka to izdarīju.
I will gladly help you.	Es tev ar prieku palīdzēšu.
It doesn't surprise me.	Tas mani nepārsteidz.
My TV has quit working.	Mans TV ir pārstājis darboties.
Now, this is a problem.	Tagad tā ir problēma.
Tell it to him, not me!	Saki to viņam, nevis man!
That's a good question.	Tas ir labs jautājums.
They suspected nothing.	Viņi neko nenojauš.
Tom cut the wrong wire.	Toms pārgrieza nepareizo vadu.
Tom is all alone again.	Toms atkal ir pilnīgi viens.
Tom is studying French.	Toms mācās Franču valodu.
What has he done today?	Ko viņš šodien ir izdarījis?
What has he done today?	Ko viņš ir izdarījis šodien?
What're we waiting for?	Ko mēs gaidām?
What're we waiting for?	Ko jūs gaidāt?
Why aren't you at work?	Kāpēc tu neesi darbā?
Why do I feel this way?	Kāpēc es šādi jūtos?
Will she get well soon?	Vai viņa drīz atlabs?
You asked for our help.	Tu lūdzi mūsu palīdzību.
You can't hypnotize me.	Tu nespēj mani hipnotizēt.
You must do it at once.	Tev vajaga beidzot to izdarīt.
Did he support her idea?	Vai viņš atbalstīja viņas ideju.
Do you require our help?	Vai tev vajag mūsu palīdzību.
Her kindness touched me.	Viņas laipnība mani aizkustināja.
I can't just do nothing.	Es varu nedarīt neko.
I don't care either way.	Man vienalga jebkurā gadījumā.
I don't want to eat now.	Es tagad negribu ēst.
I go there all the time.	Es tur eju visu laiku.
I hope we'll meet again.	Es ceru, ka mēs tiksimies vēlreiz.
I love to take pictures.	Man patīk fotogrāfēt.
I think you're mistaken.	Es domāju, ka tu kļūdies.
I've seen Tom in action.	Es esmu redzējis Tomu darbībā.
If you want to cry, cry.	Ja tu gribi raudāt, raudi.
It's time for Tom to go.	Tomam ir laiks doties.
She didn't need to come.	Viņai nevajadzēja nākt.
She knocked on the door.	Viņa pieklauvēja pie durvīm.
The skeptics were right.	Skeptiķiem bija taisnība.
They know what happened.	Viņi zin, kas notika.
Tom has no friends here.	Tomam šeit nav draugu.
Tom is a visual thinker.	Toms ir vizuāls domātājs.
Tom is my second cousin.	Toms ir mans otrais brālēns.
Tom isn't being careful.	Toms nav piesardzīgs.
Tom just didn't like it.	Tomam tas nepatika.
We don't even need this.	Mums pat to nevajag.
We don't have any proof.	Mums nav nekādu pierādījumu.
We've been there before.	Mēs jau tur esam bijuši.
What did Tom talk about?	Par ko Toms runāja?
What do you think of me?	Ko tu domā par mani?
What're you looking for?	Ko tu meklē?
You didn't miss a thing.	Tu neko nenokavēji.
You explained that well.	Tu to labi izskaidroji.
You have plenty of time.	Tev ir daudz laika.
Can you help me a little?	Vai tu man varētu nedaudz palīdzēt?
He drank a lot yesterday.	Viņš dzēra daudz vakar.
He has never been abroad.	Viņš nekad nav bijis ārzemēs.
He is too tired to study.	Viņš ir pārāk noguris, lai mācītos.
He missed the last train.	Viņš nokavēja pēdējo vilcienu.
He'll be glad to see you.	Viņš priecāsies tevi redzēt.
He'll be glad to see you.	Viņš priecāsies jūs redzēt.
How tall is your brother?	Cik garš ir tavs brālis?
I advised Tom to go home.	Es ieteicu Tomam doties mājās.
I can help if you'd like.	Es varu palīdzēt ja tu gribi.
I can't help you do that.	Es nevaru tev palīdzēt to izdarīt.
I don't like cold coffee.	Man nepatīk auksta kafija.
I don't like you anymore.	Man tu vairs nepatīc.
I go to school by subway.	Es dodos uz skolu ar metro.
I knew Tom meant no harm.	Es zinu, ka Toms nedomāja ļaunu.
I saw it from the window.	Es to ieraudzīju no loga.
I wonder if this is love.	Es domāju vai tā ir mīlestība.
I'll study hard tomorrow.	Es rīt cītīgi mācīšos
I'm not excited about it.	Es neesmu par to sajūsmā.
I'm really glad you came.	Esmu ļoti priecīgs, ka tu atnāci.
I've got nothing to hide.	Man nav nekas slēpjams.
Mary is Tom's girlfriend.	Marijas draugs ir Toms
Maybe we should be quiet.	Varbūt mums vajadzētu būt klusiem.
That wasn't my intention.	Tas nebija mans nodoms.
That's not going to help.	Tas nelīdzēs.
The two boys are cousins.	Šie zēni ir brālēni.
They became very nervous.	Viņi kļuva ļoti nervozi.
This watch is waterproof.	Šis rokaspulkstenis ir ūdensizturīgs.
Tom is already in Boston.	Toms jau ir Bostonā.
Tom returned immediately.	Toms atgriezās uzreizs.
Turtles don't have teeth.	Bruņurupučiem nav zobu.
We should study together.	Mums vajadzētu mācīties kopā.
What do you mean by that?	Ko tu ar to domā?
Would you like to see it?	Vai tu gribētu redzēt to.
You don't have to eat it.	Tev nevajag to ēst.
Everyone, please be quiet.	Visi lūdz esat klusi.
He can speak Russian, too.	Viņš ari var runāt Krieviski.
I can get anything I want.	Es varu dabūt visu ko es gribu.
I don't have many friends.	Man nav daudz draugu.
I don't know how I did it.	Es nezinu kā es to izdarīju.
I don't want you to worry.	Es negribu lai tu uztrauktos.
I just want a normal life.	Es tikai vēlos normālu dzīvi.
I need to know everything.	Man jāzin viss.
I was terribly frightened.	Es biju ļoti nobijies.
I'm having a heart attack.	Man ir sirdstrieka.
Please give me this money.	Lūdz iedod man šo naudu.
Tell me what you find out.	Pastāsti man ko esi atklājis.
They should ask Tom first.	Viņiem vispirms vajadzētu pajautāt Tomam.
They're young and healthy.	Viņi ir jauni un veselīgi.
Tom isn't like other boys.	Toms nav tāds kā citi puiši.
Tom seems different today.	Toms šodien izskatās savādāk.
Watch out for pickpockets.	Uzmanies no zagļiem.
What do you suppose it is?	Kā tu domā kas tas ir?
What do you want for that?	Ko tu vēlies par to?
What's your cousin's name?	Kads ir tava brālēna vārds?
What's your cousin's name?	Kāds ir tavas māsīcas vārds?
Why do we have to go home?	Kāpec mums vajaga iet mājās?
You must be really hungry.	Tu noteikti esi ļoti izsalcis.
Did you see where Tom went?	Vai tu redzēji kur palika Toms?
Do they have any good news?	Vai tev ir labi jaunumi.
Do you ever wear a bow tie?	Vai tu kādreiz velc tauriņu?
Do you know the bus driver?	Vai tu pazīsti autobusa vadītāju?
He didn't order dinner yet.	Es vel nepasūtīju vakariņas.
He is a teacher of English.	Viņš ir angļu valodas skolotājs.
I don't care what it costs.	Man vienalga, cik tas maksā.
I don't have a spare shirt.	Man nav lieka krekla.
I don't know what you mean.	Es nezinu ko tu ar to domā.
I started writing the book.	Es sāku rakstīt grāmatu.
I wish I could go to Japan.	Es vēlo kaut es varētu doties uz Japānu.
I'd like to live in Europe.	Man patīk dzīvot Eiropā.
I'll never make it in time.	Es nekad neuzspēšu laikā.
I'll stay at home tomorrow.	Es rīt palikšu mājās.
I'm not going to die today.	Es netaisos mirt šodien.
Is your brother's name Tom?	Vai tava brāļa vārds ir Toms?
It seems interesting to me.	Man tas liekas intraneti!
Japan is full of surprises!	Japāna ir pārsteigumu pilna!
Nobody lives in this house.	Šajā mājā neviens nedzīvo.
She was washing the dishes.	Viņa mazgāja traukus.
Should I wait for you here?	Vai man tevi vajadzēja gaidīt šeit?
The cows are milked at six.	Govis tiek slauktas sešos.
The flowers cheered her up.	Ziedi viņu uzmundrināja.
They are eating a sandwich.	Viņi ēd sendviču.
This car is very expensive.	Šī automašīna ir ļoti dārga.
Tom is asleep on the bench.	Toms ir aizmidzis uz soliņa.
Tom is asleep on the couch.	Toms ir aizmidzis uz dīvāna.
Tom is awfully quiet today.	Toms šodien ir diezgan klus.
Tom traveled around Europe.	Toms ceļoja apkārt Eiropai.
Tom works in a coffee shop.	Toms strādā kafejnīcā.
We have to be very careful.	Mums jābūt ļoti uzmanīgiem.
We'll certainly invite Tom.	Mēs noteikti ielūgsim Tomu.
What are you talking about?	Par ko tu runā.
Ask her when she comes back.	Pajautā viņai kad viņa atgriezīsies.
How could you be so certain?	Kā tu vari būt tik drošs?
I can teach you if you want.	Es varu jūs iemācīt, ja jūs to gribat.
I don't know how I did that.	Es nezinu kā es to izdarīju.
I enlisted in the Air Force.	Es brīvprātīgi pievienojāties Gaisa spēku.
I have to cook dinner today.	Man šodien jāpagatavo vakariņas
I shouldn't have logged off.	Man nevajadzēja izlogoties.
I try not to think about it.	Es mēģinu par to nedomāt.
I will wait until she comes.	Es gaidīšu kamēr viņa atnāks.
I'm an actress, not a model.	Es esmu aktrise, nevis modele.
I'm sorry you feel that way.	Man ir žēl ka tu jūties tā.
It is said that she is rich.	Tas ir skumji ka viņa ir bagāta.
She was almost hit by a car.	Viņu gandrīz notrieca mašīna.
Stop playing with your hair.	Beidz spēlēties ar saviem matiem.
Thanks for your explanation.	Paldies par paskaidrojumu.
The dog didn't eat the meat.	Suns neapēda gaļu.
They don't want you to know.	Viņi nevēlas, lai tu zini.
We don't have time for this.	Mums tam nav laika.
We really enjoyed ourselves.	Mēs patiešām patika sevi.
Where are your credit cards?	Kur ir tava kredītkarte?
Why don't you come visit us?	Kāpēc tu neapciemo mūs.
You'll sleep better tonight.	Šonakt tu gulēsi labāk.
Can you tell me what this is?	Vai tu vari man pateikt, kas tas ir?
Did you try to listen to her?	Vai tu mēģināji viņā ieklausīties?
Give me the report on Monday.	Atdodiet man ziņojumu Pirmdien.
How's it going? Are you busy?	Kā iet? Vai tu esi aizņemts?
I can't answer this question.	Es nevaru atbildēt uz šo jautājumu.
I can't get this lock opened.	Es nevaru šo slēdzeni atvērt.
I can't recall who said that.	Es nevaru atcerēties kurš to teica.
I don't think you understand.	Es nedomāju, ka tu saproti.
I wish I had a better memory.	Es vēlētos lai man būtu labākas atmiņas.
My husband gave me a red car.	Mans vīrs man iedeva sarkanu mašīnu.
Prices have dropped recently.	Cena ir kritusies nesen.
She dressed up for the party.	Viņa ir saģērbusies ballītei.
She let him drive on his own.	Viņa viņam ļāva braukt pašam.
Some people relax by reading.	Daži cilvēki atpūšas lasot.
That bed is very comfortable.	Tā gulta ir ļoti ērta.
That shop has many customers.	Veikalam ir daudz apmeklētāku.
That's the only way to do it.	Ir tikai viens veids, kā to izdarīt.
There are also fish that fly.	Ir arī zivs kas lido.
Tom drove to the supermarket.	Toms piebrauca pie lielveikala.
Tom hasn't changed very much.	Toms nav daudz mainījies.
Tom is a bit older than Mary.	Toms ir mazliet vecāks par Mariju
Tom is a martial arts expert.	Toms ir cīņas mākslu eksperts.
Tom wanted to wash his hands.	Toms gribēja nomazgāt rokas.
We all need to stay together.	Mums visiem jāpaliek kopā.
We don't know where Tom went.	Mēs nezinam kur Toms palika.
You're an artist, aren't you?	Tu esi mākslinieks, vai ne?
Your brother will not buy it.	Tavs brālis to nepirks.
Your daughters are beautiful.	Tava meita ir skaista.
He climbed down from the tree.	Viņš nokāpa no koka.
I can do it without your help.	Es varu to izdarīt bez tavas palīdzības.
I can only stay a few minutes.	Es varu palikt tikai uz dažām minūtēm.
I didn't know what that meant.	Es nezinu ko tas nozīmē.
I didn't know what to believe.	Es nezinu kam ticēt.
I didn't want to shoot my dog.	Es nevēlos nošaut savu suni.
I don't have to do that today.	Man to šodien nevajaga darīt.
I don't like punk rock at all.	Man nemazs nepatīk roks.
I don't want to die in prison.	Es nevēlos mirt cietumā.
I had intended to go shopping.	Es biju domājis doties iepirkties.
I had to wait for a long time.	Man vajadzēja gaidīt ilgu laiku.
I know how much money Tom has.	Es zinu cik naudas Tomam ir.
I think that Tom is dangerous.	Es domāju, ka Toms ir bīstams.
I'm sorry, I'm busy right now.	Es atvainojos, es šobrīd esmu aizņemts.
Nothing much is happening yet.	Nekas nav noticis pagaidām.
People should love each other.	Cilvēkiem vajadzētu mīlēt citam citu.
Please take me to the airport.	Lūdzu aizvediet mani uz lidostu.
She's really smart, isn't she?	Viņa ir ļoti gudra, vai ne?
The cops won't find you there.	Policisti neatradīs tevi šeit.
The meeting will end tomorrow.	Sanāksme beigsies rīt.
The rain washed away the soil.	Lietus aizskaloja augsni.
They did not have enough gold.	Viņiem nebija pietiekoši daudz zelta.
This flower is very beautiful.	Šis zieds ir ļoti skaists.
This place is large, isn't it?	Šī vieta ir liela, vai ne?
Tom is playing the violin now.	Toms šobrīd spēle vijoli.
All of my attempts have failed.	Visi mani mēģinājumi ir izgāzušies.
He earns his living by writing.	Viņš nopelna viņa dzīvei rakstot
He sent his luggage in advance.	Viņš jau iepriekš nosūtīja savu bagāžu.
I don't want to live by myself.	Es negribu dzīvot viens pats.
I don't want to wait that long.	Es negribu gaidīt tik ilgi.
I thought I put it right there.	Man likās, ka es to noliku tur.
It will cost around 10,000 yen.	Tas maksās aptuveni 10000 jēnu.
My husband is a very good cook.	Mans vīrs ir ļoti labs pavārs.
Say it clearly in a loud voice.	Saki to skaidri skaļā balsī.
She asked how to cook the fish.	Viņa jautāja, kā pagatavot zivi.
There are some eggs in the box.	Tur ir dažas olas kastē.
Tom just couldn't help himself.	Toms nevarēja palīdzēt sev.
Tom locked his keys in his car.	Toms ieslēdza savas atslēgas mašīnā.
Tom seems to have lost his key.	Toms izskatās ka ir pazaudējis savas atslēgas.
We don't want to take anything.	Mēs neko nevēlamies ņemt.
We were surprised by that news.	Mēs bijām pārsteigti par šo ziņu.
What part don't you understand?	Kuru daļu tu nesaproti?
Do not cast pearls before swine.	Neber cūkām pērles
I can't let Tom keep doing that.	Es nevaru ļaut Tomam turpināt to darīt.
I didn't quite know what to say.	Es īsti nezināju, ko teikt.
I have no time even for reading.	Man nav laika pat lasīšanai.
I'm going to miss that somewhat.	Man tas mazliet pietrūks.
I'm sure you can do even better.	Esmu pārliecināts ka tu to vari izdarīt vel labāk.
I'm trying very hard not to cry.	Es ļoti cenšos neraudāt.
That restaurant's too expensive.	Tas restorāns ir pārāk dārgs.
Tom really likes chocolate cake.	Tomam ļoti garšo šokolādes kūka.
We often talk about the weather.	Mēs bieži runājam par laika apstākļiem.
We went for a walk on the beach.	Mēs devāmies pastaigā pa pludmali.
What time do you arrive at work?	Kādā laikā tu ierodies darbā?
He has a brother and two sisters.	Viņam ir brālis un divas māsas.
He's a professional photographer.	Viņš ir profesionāls fotogrāfs.
I love you more than you love me.	Es mīlu tevi vairāk nekā tu mani mīli.
I take the bus to work every day.	Es ar autobusu uz darbu dodos katru dienu.
I thought the show was excellent.	Es domāju, ka šovs bija lielisks.
I tore the newspaper into pieces.	Es saplēsu avīzi druskās.
I've had a lot on my mind lately.	Es pēdējā laikā esmu daudz ko pārdomājis.
It was his habit to get up early.	Tas bija viņa ieradums pamosties agri.
Some even accused him of treason.	Daži pat apsūdzēja viņu nodevībā.
The door is opened every morning.	Durvis ir atvērtas katru rītu.
Tom did that entirely on his own.	Toms to visu paveica pats.
Tom has three gorgeous daughters.	Tomam ir trīs skaistas meitas.
Tom has to do that before Monday.	Tomam tas ir jāizdara līz pirmdienai.
We protested, but it was in vain.	Mēs protestējām, bet tas bija veltīgi.
Fortunately, the weather was good.	Par laimi, laiks ir labs.
