Go.	Dža.
I knew Tom had to do that.	Me žanglem ke o Tom trubusardas te kerel les.
I knew what Tom had to do.	Žanglem so Tom trubusardas te kerel.
I know Tom has lied to us.	Me žanav ke o Tom xoxadás amen.
I know Tom has lied to us.	Me žanav ke o Tom koxadás amen.
I know what Tom had to do.	Me žanav so trubusardas te kerel o Tom.
I think Tom is a nice guy.	Me gindiv ke o Tom si jekh lašo manuš.
I think Tom is just tired.	Me gîndiv ke Tom si baš khino.
I think Tom is just tired.	Me gîndiv ke Tom si baš čino.
I told Tom to leave early.	Me phendem le Tomeske te žal tar de vŕamja.
I'd do that if Tom let me.	Me kerav les te o Tom mekel man.
I've agreed to let Tom go.	Primisardem te mekav le Tomes te žal tar.
I've only been there once.	Me somas okote ferdi jekvar.
Tell me why Tom is crying.	Phen mange sostar o Tom rovel.
They're probably together.	Von si amborim khetane.
They're probably together.	Von si amborim ane k than.
They're speaking together.	Von den duma khetane.
They're speaking together.	Von den svato ane k than.
Tom has bought a computer.	O Tom kindas jekh kompjuteri.
Tom has bought a computer.	O Tom čindas jekh kompjuteri.
We do everything together.	Ame keras sa khetane.
We do everything together.	Keras sa ane k than.
Both Tom and I lied to you.	Vi o Tom thaj vi me xoxadam tut.
Both Tom and I lied to you.	Vi me ta vi o Tom xoxadam tut.
Both Tom and I lied to you.	Me haj o Tom le duj žene xoxadam tut.
Both Tom and Mary said yes.	O Tom haj i Mary le duj žene phende va.
Do you still live with Tom?	Bešes înkê le Tomesa?
Do you still live with Tom?	Bešes još le Tomesa?
Do you still work with Tom?	Keres but'i înkê le Tomesa?
Do you still work with Tom?	Keres buči još le Tomesa?
I asked Tom what he wanted.	Me pušlem le Tomestar so kamlas.
I bought a new car for Tom.	Kindem jekh nevi matora le Tomeske.
I bought a new car for Tom.	Čindem jekh nevi matora le Tomeske.
I don't care what Tom buys.	Na interesil man so kinel o Tom.
I don't care what Tom buys.	Či interesil man so činel o Tom.
I know that Tom is at home.	Me žanav ke Tom si khêrê.
I need to help Tom do that.	Me trubuv te ažutiv le Tomes te kerel les.
I think Tom has to do that.	Gindiv ke Tom trubul te kerel les.
I think Tom is sympathetic.	Me gindiv ke o Tom si lašo.
I want Tom to stay with me.	Me kamav ke o Tom bešel mansa.
I want to do that with Tom.	Kamav te kerav les le Tomesa.
I want to help Tom do that.	Me kamav te ažutiv o Tom te kerel les.
If you get sleepy, tell me.	Te les tut e lindri, phen mange.
It wasn't Tom who did that.	Na sas o Tom kaj kerdas les.
Tell Tom I want to do that.	Phen le Tomeske ke me kamav te kerav les.
Tom and I are here for you.	Me haj o Tom somas akathe anda tute.
Tom and Mary are both rich.	O Tom haj i Mary le duj žene si barvale.
Tom and Mary both did well.	O Tom haj i Mary le duj žene kerde mišto.
Tom and Mary both sat down.	O Tom haj i Mary le duj žene bešle tele.
Tom and Mary both saw John.	O Tom haj i Mary le duj žene dikhle le Johnes.
Tom asked me if I did that.	O Tom pušlas mandar te me kerdem les.
Tom can do that on his own.	O Tom daštil te kerel les korkořo.
Tom has no plan to do that.	O Tom naj les jekh plano te kerel les.
Tom has no time to do that.	O Tom naj les vŕama te kerel les.
Tom has to change his plan.	Musaj le Tomeske te pařuvel pesko plano.
Tom has told us to do that.	O Tom phendas amenge te kerel les.
Tom is taking a look at it.	O Tom dikhel les.
Tom is too busy to do that.	O Tom si pŕabut buťako te kerel les.
Tom is too busy to eat now.	O Tom si pŕabut buťako te xal akana.
Tom is too poor to do that.	O Tom si pŕabut čořo te kerel les.
Tom is too sick to do that.	O Tom si pŕabut nasvalo te kerel les.
Tom is too weak to do that.	O Tom si pŕabut kovlo te kerel les.
Tom is too weak to do that.	O Tom si pŕabut naźuralo te kerel les.
Tom is too wise to do that.	O Tom si pŕabut godžaver te kerel les.
Tom knows what we're doing.	Tom žanel so ame keras.
Tom likes to do that a lot.	O Tom drago leske but te kerel les.
Tom says I have to do that.	O Tom phenel ke musaj mange te kerav les.
Tom says I need to do that.	O Tom mothol ke me trubuv te kerav les.
Tom says he had to do that.	O Tom phenel ke trubusardas te kerel les.
Tom says he has to do that.	O Tom phenel ke musaj te kerel les.
Tom was able to find a job.	O Tom daštisardas te lel jekh buči.
Tom was able to find a job.	O Tom daštisardas te arakhêl jekh buči.
Ask Tom if Mary can do that.	Puš le Tomestar te i Mary daštil te kerel les.
Ask Tom if he needs my help.	Puš le Tomestar te trubul muřo ažutimos.
Ask Tom if he needs my help.	Puš le Tomestar te vo trubul muřo pomoćo.
Ask Tom what he wants to do.	Puš le Tomestar so kamel te kerel.
Both Tom and Mary are drunk.	O Tom haj i Mary le duj žene si mate.
Both Tom and Mary are going.	O Tom haj i Mary le duj žene žan.
Both Tom and Mary are tired.	O Tom haj i Mary le duj žene si čine.
Both Tom and Mary are tired.	O Tom haj i Mary le duj žene si khine.
Both Tom and Mary need help.	O Tom haj i Mary le duj žene trubun ažutimos.
Both Tom and Mary need help.	O Tom haj i Mary le duj žene trubun pomoćo.
Both Tom and Mary should go.	O Tom haj i Mary le duj žene musaj lenge te žan.
Did Tom say why he did that?	O Tom phendas sostar vo kerdas les?
Do you know if Tom can swim?	Žanes te o Tom daštil te notil?
Do you know why Tom is late?	Žanes sostar o Tom areslo maj palál?
Do you know why Tom was mad?	Žanes sostar o Tom sas xoľajlo?
Everyone forgot my birthday.	Savořê bisterde muřo rodźendano.
Everyone forgot my birthday.	Sa bisterde muřo džes.
I asked Tom why he did that.	Pušlem le Tomestar sostar kerdas les.
I can't tell Tom what to do.	Naštiv te phenav le Tomeske so trubul te kerel.
I didn't want to let Tom go.	Či kamlem te mukav le Tomes te žal tar.
I don't know what you think.	Me či žanav so gindis.
I don't know why Tom is sad.	Či žanav sostar o Tom tristo lo.
I don't know why Tom is sad.	Či žanav sostar o Tom si tužno.
I don't want to go with Tom.	Či kamav te žav le Tomesa.
I helped Tom get a job here.	Ažutisardem le Tomes te lel jekh buči akathe.
I know Tom needs to do that.	Žanav ke o Tom trubul te kerel les.
I know Tom wants to do that.	Žanav ke o Tom kamel te kerel les.
I know that Tom can do that.	Žanav ke o Tom daštil te kerel les.
I know what Tom needs to do.	Žanav so trubul te kerel o Tom.
I know what Tom wants to do.	Žanav so kamel te kerel o Tom.
I know why Tom is in Boston.	Žanav sostar o Tom si ane Boston.
I need to know where Tom is.	Me trubuv te žanav kaj o Tom.
I saw Tom waiting for a bus.	Me dikhlem le Tomes kaj ažukerdas anda jekh autobuzo.
I should ask Tom to do that.	Me musaj te pušav le Tomestar te kerel les.
I still have to talk to Tom.	Ži akana me trubuv te dav duma le Tomesa.
I told Tom to do that today.	Me phendem le Tomeske te kerel les adžes.
I waited for Tom to do that.	Ažukerdem le Tomes te kerel les.
I want to talk to Tom again.	Me kamav te dav duma pale le Tomesa.
I want to talk to Tom again.	Me kamav te dav duma ponevo le Tomesa.
I wanted Tom to wait for me.	Me kamlem ke o Tom ažukêrel man.
I wanted to see Tom do that.	Me kamlem te dikhav le Tomes te kerel les.
I was waiting for Tom to go.	Me ažukerdem le Tomes te žav tar.
I'm not the one who hit Tom.	Me či som o ženo kaj mardas le Tomes.
It's Tom that I want to see.	Si o Tom ke me kamav te dikhav.
Tom and I gave that to Mary.	Me haj o Tom dam les le Mariake.
Tom and I gave that to Mary.	Me thaj o Tom diam les le Mariake.
Tom and I know who did that.	Me haj o Tom žanas kon kerdas les.
Tom and Mary are both angry.	O Tom haj i Mary le duj žene si xoľajle.
Tom and Mary are both dirty.	O Tom haj i Mary le duj žene si melale.
Tom and Mary both hate John.	O Tom thaj i Mary le duj žene urutizen le Johnes.
Tom and Mary both know this.	O Tom haj i Mary le duj žene žanen les.
Tom and Mary both need this.	O Tom haj i Mary le duj žene trubun les.
Tom asked me how I did that.	O Tom pušlas mandar sar kerdem les.
Tom asked me not to do that.	O Tom pušlas mandar te na kerel les.
Tom asked me to talk to you.	O Tom pušlas mandar te dav duma tusa.
Tom asked me why I did that.	O Tom pušlas mandar sostar kerdem les.
Tom can do that if he likes.	O Tom šaj te kerel les te drago leske.
Tom can do that if he tries.	O Tom daštil te kerel les te zumavel.
Tom can swim and I can, too.	O Tom daštil te notil haj vi me daštiv.
Tom had to wait a long time.	O Tom trubusardas te ažukêrel but vŕama.
Tom has asked me to do that.	O Tom pušlas mandar te kerel les.
Tom has done so much for us.	O Tom kerdas but anda amende.
Tom has no right to do that.	O Tom naj les voja te kerel les.
Tom has told me he can swim.	O Tom phendas mange ke daštil te notil.
Tom is now ready to do that.	Tom si getome akana te kerel les.
Tom is too busy to help you.	O Tom si pŕabut buťako te ažutil tut.
Tom is too drunk to do that.	O Tom si pŕabut mato te kerel les.
Tom is too short to do that.	O Tom si pŕabut cîgno te kerel les.
Tom is too small to do that.	O Tom si pŕabut cîgno te kerel les.
Tom is too timid to do that.	O Tom si pŕabut lažano te kerel les.
Tom is too tired to do that.	O Tom si pŕabut čino te kerel les.
Tom is too tired to eat now.	O Tom si pŕabut khino te xal akana.
Tom is too tired to eat now.	O Tom si pŕabut čino te xal akana.
Tom knows he has to do that.	O Tom žanel ke trubul te kerel les.
Tom may know how to do that.	O Tom žanel amborim sar te kerel les.
Tom may not have to do that.	O Tom na trubul amborim te kerel les.
Tom may not know what to do.	O Tom či žanel amborim so te kerel.
Tom said he did that for us.	Tom phendas ke kerdas les anda amende.
Tom said he may not do that.	O Tom phendas ke amborim či kerel les.
Tom said it was a good game.	O Tom phendas ke sas jekh lašo khêlimos.
Tom said it's OK to eat now.	O Tom phendas ke si MIŠTO te xal akana.
Tom told me I could do that.	O Tom phendas mange ke me daštisardem te kerav les.
Tom told me he could fix it.	O Tom phendas mange ke naštisardas te lašarel les.
Tom told me he didn't do it.	O Tom phendas mange ke či kerdas les.
Tom told me he had no money.	O tom phendas mange ke či sas les love.
Tom told me he had to leave.	O Tom phendas mange ke vo trubusardas te žal tar.
Tom told me he wanted to go.	O Tom phendas mange ke kamlas te žal.
Tom told me he wants to die.	O Tom phendas mange ke kamel te merel.
Tom told me he was a doctor.	O Tom phendas mange ke vo sas jekh doktoro.
Tom told me he was a doctor.	O Tom phendas mange ke vo sas jekh sastimari.
Tom told me not to eat this.	O Tom phendas mange te na xal les.
Tom told me that he was hot.	O Tom phendas mange ke vo sas tato.
Tom told me that he was mad.	O Tom phendas mange ke vo sas xoľajlo.
Tom told me that he was sad.	O Tom phendas mange ke vo sas tužno.
Tom told me that he was shy.	O Tom phendas mange ke vo sas lažano.
Tom wanted to buy a new car.	O Tom kamlas te kinel jekh nevi matora.
Tom wanted to do a good job.	O Tom kamlas te kerel jekh laši buči.
Tom wanted to give it a try.	O Tom kamlas te zumavel les.
Tom wanted to go for a walk.	O Tom kamlas te phirel.
Tom wants to buy my old car.	O Tom kamel te kinel muři purani matora.
Tom wants us to go with him.	O Tom kamel ke ame žas lesa.
Tom was with me on that day.	O Tom sas mansa kodova džes
We want Tom to sing with us.	Ame kamas le Tomes te džilabel amensa.
What did Tom want you to do?	So kamlas o Tom ke tu keres?
When I saw Tom I said hello.	Kana dikhlem le Tomes phendem baxtalo.
Who told Tom not to do that?	Kon phendas le Tomeske te na kerel les?
Why did Tom do that for you?	Sostar o Tom kerdas les anda tute?
Why did Tom have to do that?	Sostar o Tom trubusardas te kerel les?
Why did Tom need to do that?	Sostar o Tom trubul te kerel les?
Why did Tom want to do that?	Sostar o Tom kamel te kerel les?
Why didn't you ever tell us?	Sostar či phendan amenge šoha?
Why didn't you ever tell us?	Sostar či phendan amenge nikad?
Why does Tom want to see me?	Sostar o Tom kamel te dikhel man?
Why is Tom being nice to me?	Sostar o Tom si but lašo mansa?
Ask Tom what he wants to eat.	Puš le Tomestar so kamel te xal.
Both Tom and Mary are insane.	O Tom haj i Mary le duj žene si dile.
Both Tom and Mary can't swim.	O Tom haj i Mary le duj žene naštin te notin.
Does Tom want to do that now?	O Tom kamel te kerel les akana?
Does Tom wish to do that now?	O Tom volil te kerel les akana?
Everybody forgot my birthday.	Savořê bisterde muřo rodźendano.
Everybody forgot my birthday.	Sa bisterde muřo džes.
I can't do that, but Tom can.	Me naštiv te kerav les, numa Tom daštil.
I didn't have to go with Tom.	Me či trubusardem te žav le Tomesa.
I didn't tell Tom to do that.	Me či phendem le Tomeske te kerel les.
I don't know how rich Tom is.	Me či žanav sar barvalo si o Tom.
I don't know why Tom got mad.	Či žanav sostar o Tom xoľamo sas.
I don't let Tom drive my car.	Me či mekav le Tomes te vozîl muři matora.
I don't plan to wait for Tom.	Me či suřučisarav te ažukerav le Tomes.
I know Tom is doing that now.	Me žanav ke o Tom kerel les akana.
I know Tom wanted to do that.	Me žanav ke o Tom kamlas te kerel les.
I know that Tom is in Boston.	Me žanav ke o Tom si ande o foro Boston.
I know the man Tom came with.	Me prinžarav le manušes ke aviljas le Tomesa.
I like the way Tom does that.	Drago mange sar o Tom kerel les.
I need to tell Tom the truth.	Me trubuv te phenav le Tomeske o čačimos.
I needed to help Tom do that.	Me trubusardem te ažutiv le Tomes te kerel les.
I should tell Tom to do that.	Me musaj te phenav le Tomeske te kerel les.
I think Tom likes to do that.	Me gindiv ke o Tom drago leske te kerel les.
I think Tom needs to do that.	Me gindiv ke o Tom trubul te kerel les.
I want to tell Tom the truth.	Me kamav te phenav le Tomeske o čačimos.
I wanted to help Tom do that.	Kamlem te ažutiv le Tomes te kerel les.
I wasn't able to talk to Tom.	Me či daštisardem te dav duma le Tomesa.
I wasn't as drunk as Tom was.	Či somas mató sar o Tom.
I wasn't the one who hit Tom.	Me či mardem pe Tomes.
Is Tom looking for a new job?	O Tom rodel jekh nevi buči?
Is Tom still able to do that?	O Tom daštil înkê te kerel les.
Is it true that Tom did that?	Čačes ke Tom kerdas les?
No one but Tom could do that.	Khonik naštisardas numa o Tom daštisardas te kerel les.
Tell Tom he needs to do that.	Phen le Tomeske ke vo trubul te kerel les.
Tell Tom not to do that here.	Phen le Tomeske te na kerel les akathe.
The one who did that was Tom.	Kon kerdas les sas o Tom.
The one who does that is Tom.	Kon kerel les si o Tom.
There's no reason to do that.	Naj motivo te kerel les.
Tom and Mary are both scared.	O Tom haj vi i Mary le duj žene si trašane.
Tom and Mary were both dirty.	O Tom haj i Mary le duj žene sas melale.
Tom asked me to wash his car.	O Tom pušlas mandar te thovel leski matora.
Tom can't do that on his own.	O Tom naštil te kerel les korkořo.
Tom had no desire to do that.	O Tom či kamlas te kerel les.
Tom has never let me do that.	O Tom či meklas man šoha te kerel les.
Tom has never let me do that.	O Tom či meklas man nikad te kerel les.
Tom has no desire to do that.	O Tom či kamel te kerel les.
Tom has no idea who did that.	Tom či žanel kon kerdas les.
Tom is just as smart as Mary.	O Tom si ferdi bužanglo sar i Mary.
Tom is married with children.	O Tom si ansurime, si les šavořê.
Tom is the guy that did that.	O Tom si o manuš ke kerdas les.
Tom isn't as rich as Mary is.	O Tom naj barvalo sar i Mary.
Tom knew Mary had to do that.	Tom žanglas ke Mary trubusardas te kerel les.
Tom knows he has to be ready.	O Tom žanel ke trubul te si getomé.
Tom knows he has to be ready.	O Tom žanel ke trubul te si gáta.
Tom may not be at home today.	Poate ke o Tom naj khêrê adžes.
Tom may not be at home today.	O Tom naj amborim khêrê adžes.
Tom might do that on his own.	O Tom kerel les amborim korkořo.
Tom plans to do that as well.	O Tom suřučisarel vi te kerel les.
Tom said he plans to do that.	Tom phendas ke suřučisarel te kerel les.
Tom says he plans to do that.	Tom phenel ke suřučisarel te kerel les.
Tom says he plans to do that.	Tom mothol ke suřučisarel te kerel les.
Tom told me Mary was in jail.	O Tom phendas mange kaj i Mary sas phandadi.
Tom told me Mary was in jail.	O Tom phendas mange kaj i Mary sas ani temnica.
Tom told us he could do that.	O Tom phendas amenge ke daštisardas te kerel les.
Tom wanted to come to Boston.	O Tom kamlas te avel ane Boston.
Tom wanted to eat fried rice.	O Tom kamlas te xal peko orezo.
Tom wanted to get rich quick.	O Tom kamlas sigo te avel barvalo.
Tom wanted to get rich quick.	O Tom kamlas fugo te avel barvalo.
Tom wanted to go there again.	O Tom kamlas te žal majegdata okothe.
Tom wanted to speak with you.	O Tom kamlas te del duma tusa.
Tom was unable fix the latch.	O Tom naštisardas te lašarel o rêtêzo.
Tom wasn't able to find work.	O Tom nastišardas te arakhel jekh but'i.
Tom wasn't able to find work.	O Tom nastišardas te arakhel jekh buči.
Tom went into the other room.	O Tom gelas an' i aver soba.
Tom went into the other room.	O Tom gelo an' i aver soba.
Was Tom surprised to see you?	O Tom sas mirime te dikhel tut?
What does Tom plan to do now?	So suřučisarel o Tom te kerel akana?
Why does Tom like this hotel?	Sostar drago le Tomeske kado otelo?
Why is Tom afraid to do that?	Sostar o Tom daral te kerel les?
You can't ask Tom to do that.	Naštis te manges le Tomes te kerel les.
He's not cut out for teaching.	Vo naj kerdo te avel sîťaritori.
No one lives in this building.	Khonik či bešel ani kadi konstrukcija.
No one lives in this building.	Čijek či trajil ani kadi konstrukcija.
Tom is the son of a policeman.	Tom si o šavo jekh šîngalesko.
Tom is the son of a policeman.	Tom si o šavo jekh pořalesko.
Tom is trying to sell his car.	O Tom zumavel te bikinel peski matora.
Tom is trying to sell his car.	O Tom zumavel te bičinel peski matora.
I didn't know that she was ill.	Me či žanglem kaj voj sas nasvali.
Tom has been chosen to do that.	O Tom sas alome te kerel les.
Tom never told me he had a dog.	O Tom či phendas mange nijekhvar kaj sas les ekh žukel.
Tom never told me he had a dog.	O Tom či phendas mange šoha kaj sas les ek žukel.
Tom told me that Mary was sick.	O Tom phendas mange kaj i Mary sas nasvali.
We visit Tom from time to time.	Ame žas te dikhas le Tomes univar.
He left without saying anything.	Vo geljas tar bi te phenel khanči.
I think that Tom is sympathetic.	Me gindiv ke o Tom si lašo.
If it ain't broke, don't fix it.	Te naj phago, na lašar les.
Tom's house looks like a castle.	O khêr le Tomesko si sar jekh diz.
Tom's house looks like a castle.	O khêr le Tomesko si sar jekh šatovo.
Have you met Tom's mother-in-law?	Maladilan i sasuj le Tomeski?
I need you to tell me what to do.	Trubul man ke tu phenes mange so kerav.
I'm sure that Tom has to do that.	Me som siguro ke o Tom trubul te kerel les.
There was food enough for us all.	Sas dosta xabe anda sa amenge.
Tom and Mary were here yesterday.	Tom haj Mary sas akathe arači.
Tom left without saying anything.	O Tom geljas tar bi te phenel khanči.
Do Tom and John still have beards?	O Tom haj o John si len înkê šor?
Do Tom and John still have beards?	O Tom haj o John si len još šor?
Do Tom and Mary have any children?	O Tom haj i Mary si len šavořê?
Do Tom and Mary have many friends?	O Tom haj i Mary si len but amala?
If you want to sit down, sit down.	Te kames te bêšes tele, bêš tele.
They said I was their best worker.	Von phende kaj me somas lengo majlačo bućarno.
Tom didn't need to go there alone.	O Tom na trubusardas te žal korkořo okothe.
Tom didn't need to go there alone.	O Tom na trubusardas te žal jekh ženo okothe.
Tom didn't want to be an engineer.	O Tom na kamlas te avel jekh inžeňeri.
Tom didn't want to come to Boston.	O Tom na kamlas te avel ane Boston.
Tom didn't want to eat fried rice.	O Tom na kamlas te xal peko orezo.
Tom didn't want to speak with you.	O Tom či kamlas te del duma tusa.
Tom didn't want to speak with you.	O Tom na kamlas te del duma tusa.
Tom didn't want to stay in Boston.	O Tom na kamlas te bešel ane Boston.
Tom didn't want to wait very long.	O Tom na kamlas te ažukêrel but.
Tom doesn't want to go to Harvard.	O Tom na kamel te žal ando Harvard?
Tom doesn't want to talk with you.	O Tom na kamel te del duma tusa.
Tom has been trying to save money.	O Tom zumadas te krucol.
Tom has been trying to save money.	O Tom zumadas te mučil.
Tom has been trying to save money.	O Tom zumadas te thol love rigate.
Tom is looking for Mary right now.	O Tom rodel Maria akana.
Tom is lucky that Mary helped him.	O Tom si baxtalo ke i Mary ažutisardas les.
Tom isn't sure what Mary is doing.	O Tom naj siguro so kerel i Mary.
Tom lost his job three months ago.	O Tom xasardas peski but'i de trin šon.
Tom lost his job three months ago.	O Tom xasardas peski buči de trin šon.
Tom moved to Boston with his wife.	O Tom mučisajlas ani Boston peski řomniasa.
Tom really wanted to talk to Mary.	O Tom čačes kamlas te del duma le Mariasa.
Tom said that he was really angry.	O Tom phendas ke vo sas but xoľajlo.
Tom said that he was really drunk.	O Tom phendas ke vo sas but mato.
Tom said that he was really lucky.	O Tom phendas ke vo sas but baxtalo.
Tom said that he was really tired.	O Tom phendas ke vo sas but čino.
Tom said that he was really tired.	O Tom phendas ke vo sas but khino.
Tom said that he was very unlucky.	O Tom phendas ke vo sas but bibaxtalo.
Why don't you give me what I want?	Sostar či des man so kamav?
I can speak French better than Tom.	Me dav duma francusicka maj mišto sar o Tom.
I think Tom should do that himself.	Me gindiv ke musaj le Tomeske te kerel les jekh ženo.
I think Tom should do that himself.	Me gindiv ke musaj le Tomeske te kerel les korkořo.
I think Tom should do that outside.	Me gindiv ke musaj le Tomeske te kerel les avri.
I told Tom I couldn't speak French.	Me phendem le Tomeske ke naštisardem te dav duma francusicka.
I'm not surprised that Tom is here.	Me či som mirime ke o Tom si akathe.
I'm sure that Tom hasn't done that.	Me som siguro ke o Tom či kerdas les.
Mary told me Tom was her boyfriend.	I Mary phendas mange ke o Tom sas lako phiramno.
Neither Tom nor Mary has gray hair.	Či o Tom haj či i Mary naj len parničosi bal.
Neither Tom nor Mary has long hair.	Či o Tom haj či i Mary naj len bari bal.
There's something you need to know.	Si vareso ke trubus te žanes.
This is Tom's first time in Boston.	Si i pervo data le Tomeske ane Boston.
Tom and I won't walk home together.	Me haj o Tom či žas khêrê khetane.
Tom and I won't walk home together.	Me thaj o Tom či žas khêrê ane k than.
Tom and Mary are kissing right now.	O Tom haj i Mary čumiden pe akana.
Tom and Mary go to church together.	O Tom haj i Mary žan ane khángeri khetane.
Tom and Mary go to church together.	O Tom thaj i Mary žan ane khanďiri ane k than.
Tom and Mary wrote a song together.	O Tom haj i Mary hramosarde jekh džili khetane.
Tom and Mary wrote a song together.	O Tom thaj i Mary ramosarde jekh gili ane k than.
Tom didn't know where he was going.	O Tom na žanglas karing gelas.
Tom doesn't have any place to live.	O Tom naj les či jekh than te trajil.
