Hello!	¡Kumusta!
I did what was right.	Ginhimo ko kun ano an isakto.
I have to keep going.	Kinahánglan nakun magpadáyun.
I owe a lot of money.	Dámo iton akón útang nga kwárta.
I still want to play.	Karuyag ko pa mag-mulay.
I think they saw you.	Pag-abat ko nakikit'an ka nira.
I was very skeptical.	Duro tak pagduda.
I was very skeptical.	Nag-aalang ak hin duro.
I'd like to try this.	Karuyag ko proybahan ini.
I'd like to try this.	Karuyag ko testingan ini.
I'll ask Tom for you.	Pakianhan ko hi Tom para haim.
I'll go and get them.	Malakat akó ngan kuhaon ko hirá.
I'll take it outside.	Igagawas ko iton.
I've got to stop you.	Kinahanglan ko pahuyuon ka.
It wasn't my mistake.	Diri adto akon sayup.
She is out of danger.	Gawás hiyá hit' kadelikaduhan.
That is not my fault.	Dírì ko iton sayop.
Tom bragged about it.	Naghinambog hi Tom hiton.
Tom can speak French.	Maaram mag-prinanses hi Tom.
Tom can't explain it.	Diri kaya ni Tom igeksplekar iton.
Tom climbed the tree.	Hi Tom sumaka ha káhoy.
Tom climbed the tree.	Nagsaklang hi Tom ha kahoy.
Tom climbed the tree.	Hi Tom sinaka ha kahoy.
Tom climbed the tree.	Ginsaka ni Tom an káhoy.
Tom decided to leave.	Nagdesisyon hi Tom nga lumakat.
Tom left at midnight.	Linmakat hi Tom ha katutnga han gab-i.
Tom likes to do that.	Karuyag iton buháton ni Tom.
Tom wants to take it.	Karuyag iton ni Tom.
We have many members.	Dámu tat miyembro.
We have many members.	Dámu iton aton miyembro.
We have many members.	Dámu iton amun miyembro.
We have many members.	Dámu tam miyembro.
We have many members.	Kadámu hiton amun miyembro.
We met at the church.	Nagkakilala kamí ha singbahan.
We'll always be here.	Adi la kami.
Who are your parents?	Hin-o iton imo mga kag-anak?
Did you hurt yourself?	Naul-ulan ka?
Does your mother know?	¿Maaram it' im' iroy?
I can play the guitar.	Nakatokar hi akó han sista.
I can play the guitar.	Nakatokar ak hit sista.
I hit him on the chin.	Naigo ko hiyá ha panga.
I made a lot of money.	Naka-kwarta ako hin damo.
I won't do it anymore.	Diri ko na iton bubuhaton.
I won't tolerate that.	Dírì ko iton pasagdan.
I'm a terrible dancer.	Diri ako maaram sumayaw.
I'm easily influenced.	Masayon ako na-impluwensyahan.
I'm going to stop Tom.	Papahuyuon ko hi Tom.
I've lost my appetite.	Nawad-an na ako hin gana.
I've lost my appetite.	Nawara na akon gana.
If I were you, I'd go.	Kun ako ha imo, mapakadto ako.
If I were you, I'd go.	Kun ak’ ha im', ma'kadto ak’.
If I were you, I'd go.	Malargo ako, kun ako ha imo.
If I were you, I'd go.	Malarga ako, kun ako ha imo.
If I were you, I'd go.	Kun ak' ha im', malakat ak'.
If I were you, I'd go.	Malakat ako kun ako ha imo.
It was very difficult.	Makuri adto hin duro.
It won't last forever.	Dírì iton magdudugay.
It won't last forever.	Dírì iton permanente.
Let's go and find Tom.	Kana na ngan pamilinga ta hi Tom.
Let's go and find Tom.	Kana na ngan bilinga naton hi Tom.
OK, what's the secret?	Sige ¿Áno't sekreto?
Please stop whistling.	Alayon huyo pagtinaghuyon.
Take good care of Tom.	Timangnoa hin maúpay hi Tom.
That book is very old.	Kadaan itón nga libro.
The bookstore is open.	Abyerto an baraligyaan hin libro.
Tom is a little crazy.	Bagá lurong hi Tom.
Tom is always working.	Permanente natrabaho hi Tom.
Tom is going to do it.	Hihimuon iton ni Tom.
Tom is going to do it.	Bubuhaton iton ni Tom.
Tom sold Mary his car.	Ginbaligya ni Tom an iya kotse kan Mary.
We ate bacon and eggs.	Kumaon kami hin bacon ngan bunay.
We've made a decision.	Nagdesisyon na kami.
We've made a decision.	Gindesisyonan na namun.
We've made a decision.	Nagdesisyon na kita.
We've made a decision.	Gindesisyonan na natun.
What do we do with it?	Aanuhon man naton iton?
Where is the elevator?	Hain iton elibitor?
Whose books are those?	¿Kan kanay itón nga mga libro?
You can't go anywhere.	Waray nimo iba nga kakadtuan.
You look rather tired.	Kapóy ka pagkitaon.
Are you listening, Tom?	¿Namamáti ka Tom?
He's unable to do that.	Waray hiya makahimo hiton.
He's unable to do that.	Pakyas hiya mabuhat iton.
How do you change that?	Gin-ano mo an pag-iba hiton?
I already have an iPad.	May-ada ko na IPad.
I didn't go to the zoo.	Waráy ak' singadto ha zoo.
I had my house painted.	Ginpintaran ko an ákòn balay.
I heard my name called.	Nabatian ko nga tinawag an ákòn ngáran.
I hope you can do this.	Unta mahimo nimo ini.
I only went there once.	Nakausa la ako singadto.
I really need to sleep.	Kinahanglan gud hi akó kumatúrog.
I sat down next to Tom.	Lumingkod ako sapit hi Tom.
I'll talk to Tom alone.	Kami la ni Tom iton mag-estorya.
I'm becoming forgetful.	Nahihingalimtanun na ako.
Let's start right away.	Pagtikang kita diretso.
Let's start right away.	Pagtikang kitá yana dayon.
No one can control him.	Waray nkakakontrol ha iya.
That's a hard question.	Makuri iton nga pakiana.
The engine won't start.	An makina diri naandar.
The engine won't start.	An makina diri naganar.
Their jeans do not fit.	An ira maung diri naigu.
Their jeans do not fit.	An ira maung diri sakto ha ira.
They helped each other.	Nagibuligay hirá.
They weren't listening.	Diri hira nanmamati.
This a personal matter.	Personal ini nga butang.
Tom did it voluntarily.	Boluntaryo itón na ginhimo ni Tom.
Tom doesn't sleep here.	Diri nganhi nakaturog hi Tom.
Tom got life in prison.	Mapripriso hi Tom.
Tom is afraid of dying.	Hadluk hi Tom namatay.
Tom is fanning himself.	Nagpa-paypay hi Tom hiton iya kalugaringon.
Tom is timid, isn't he?	Aw'dunon hi Tom ano?
We became fast friends.	Madagmit kita nagkasángkay.
We don't know for sure.	Sigurado diri kami maaram.
We must get up at dawn.	Kinahanglanon naton magmata hiton aga-aga.
We turned on the radio.	Ginpaandar namon an radyo.
We turned on the radio.	Nagpatukar kami hin radyo.
What made her so angry?	¿Áno it' rason hit' íya duro nga kaisugon?
What made her so angry?	¿Kay-ano duro it iya pag-inisog?
What made her so angry?	¿Ura-ura man it' iya isog?
What made her so angry?	¿Duro man it' ísog 'ton?
Who's this message for?	¿Para kanay ini nga mensahe?
Why would Tom be angry?	¿Kay-ano mag-iisog hi Tom?
Can Tom do that himself?	Mahihimo iton ni Tom?
Dinner is ready, Father.	Andam na iton pangiklop, Padre.
Great minds think alike.	Iton magkarit nga utok, paprehas manhuna-huna.
I asked Tom for a favor.	Umaro ako hin pabor kan Tom.
I don't really remember.	Diri ko gud nahihinumduman.
I got a letter from her.	May-áda ako surát tikang ha íya.
I got a letter from her.	Nakakarawát ak' surát tikang ha íya.
I have an exam tomorrow.	Mayda hi akó examen buwas.
I hope everyone is safe.	Unta talwas ngatanan.
I love arguing with Tom.	Karuyag ko iton pakigriniwa kan Tom.
I saw him looking at me.	Nakit-an ko hiya nga nasiplat ha akon.
I shouldn't be too late.	Diri ak dapat mauraura ka-urhi.
I think about Tom often.	Masúkot ako magpinanhunahuna kan Tom.
I think this is perfect.	Pag-abat ko perpekto na inin.
I think this is perfect.	It akun paghuna-huna perpekto na inin.
I think this is perfect.	Perpekto na inin.
I think this is perfect.	Perpekto na ini.
I'm asking your opinion.	Nagpapakiana ak' ano ti'm masisiring.
I've been seeing things.	May-ada akó pinanngingita.
My wife works part time.	It' ákòn bána nagtratrabaho part taym.
She knocked on the door.	Tumuktok hiyá ha purtahán.
That's better, isn't it?	¿Mauro-upay itón ano?
This food smells rotten.	Maraot na iton baho hini nga pagkaon.
This place is different.	Iba ini nga lugar.
This place is different.	Ini nga lugar iba.
This place is different.	Láin ini nga lugar.
This place is different.	Ini nga lugar láin.
Tom drank too much wine.	Ura-ura nga bino an nainum ni Tom.
Tom has family problems.	May-ada mga problema ha pamilya hi Tom.
Tom has trouble reading.	Kinukurian hi Tom pagbasa.
Tom seems to be jealous.	Baga'n nagseselos hi Tom.
Tom was rescued by Mary.	Binuligan ni Mary hi Tom.
Tom, you sound terrible.	Maláin ka pamatian Tom.
We don't have to starve.	Diri natun kinahanglan paggutumon.
We don't have to starve.	Diri kinahanglan nga panggut-asun kita.
We've looked everywhere.	Nanngita na kami bisan diin.
What can Tom do to help?	Ano it mahihibulig ni Tom?
Who are you laughing at?	¿Hin-o iton ímo gintitinawaan?
Why do you care so much?	¿Kay ano todo bantay ka?
Why do you care so much?	¿Kay ano uraura iton imo pag-alaga?
Write your name in full.	Kompletuha iton pagsurat hiton imo ngaran.
You would never do that.	Diri mo gud iton hihimuon.
You would never do that.	Diri mo gud 'ton 'himuon.
You would never do that.	Diri mo gud iton pagbubuhaton.
You would never do that.	Diri mo gud it' pag'buhaton.
You'd better stand back.	Mas maupay kun mahuyo ka la ngada.
Cocoa can be very bitter.	It kakaw puydi maging mapait.
Do you know where she is?	¿Maaram ka kun háin hiyá?
Does anybody smell smoke?	¿Nakakabaho kamu hin asú?
Don't worry about others.	Ayáw kabarak-i it' ibà.
Don't worry about others.	Ayáw pagbinaraka hit' ibà.
Every day was exhausting.	Makápoy han kada ádlaw.
Everybody but Tom smiled.	Ngatanan ngumisi labot la kan Tom.
Everybody but Tom smiled.	Nanngisi tanan labot la kan Tom.
His body was never found.	Waráy na makit-i an iya láwas.
His body was never found.	Waráy na mabilngi an íya láwas.
How did you learn German?	¿Naano an imo pag-aram hit German?
I arrived here yesterday.	Umabót ako dinhi kakulop.
I know that feeling, too.	Maaram ako kun ma-ano ito gihapon.
I like playing the piano.	Naruruyag ako pagpyano.
I love talking to people.	Karuyag ko it pakig-eristorya ha mga tawo.
I think Tom is impatient.	Iton akon pagkita diri pasensyoso hi Tom.
I think that he is right.	It akon paghuna-huna hiya iton asya.
I think you're all wrong.	Iton akon pag-kita mga sayop kamo.
I'll definitely miss you.	Pagmimingawun gud ako ha imo.
I'm not ready for it yet.	Diri pa ako andam para heton.
I've known Tom for years.	Madugay ko na iton nga kilala hi Tom.
I've known Tom for years.	Hadto ko pa iton kilala hi Tom.
Is it OK if I open a can?	¿Puydi akó mag-abre hin lata?
Is there any coffee left?	May-ada nasalin pa nga kape?
It's really hot out here.	Kamapaso gud liwat ha gawas.
It's really hot out here.	Kamapaso gud liwat didto.
That's quite meaningless.	Baga hin waray hiton pulos.
That's what we're hoping.	Amo iton an amon ginlalaom.
There's someone with Tom.	May-ada kaupod ni Tom.
Tom didn't make anything.	Waray ginhimo ni Tom.
Tom hasn't done that yet.	Waray pa iton tapusa ni Tom.
Tom is just an assistant.	Hi Tom parag-asister la.
Tom is no longer in pain.	Dírì na nauul-ulan hi Tom.
Tom lied about his grade.	Nagbinuwa hi Tom han íya grado.
Tom really wants to help.	Karuyag gud ni Tom bumulig.
What food don't you like?	¿Anó nga pagkaon it dírì mo naruruyagan?
Where exactly did you go?	¿Napakain gud kamó?
Where exactly did you go?	¿Kumaín gud kamó?
Why did it have to be me?	¿Kay ano hi ako pa?
Why is everybody in here?	Kay-ano ano aanhi iton ngatanan?
Would you mind if I help?	¿Dírì mo maano kun bumulig ak?
Would you mind if I help?	¿Waráy kaso ha imo kun bumulig akó?
You never arrive on time.	Diri ka naabot ha oras.
You shouldn't be jealous.	Kunta dírì ka magselos.
You shouldn't be jealous.	Dírì mo kinahánglan magselos.
Are they friends of yours?	¿Sángkay mo hirá?
Do you like rock and roll?	Maki-rak ka?
Everybody had a hard time.	Kinurian ngatanan.
He is capable as a lawyer.	Puyde hiyá magin abogado.
He is capable as a lawyer.	May-kapasidad hiyá magin abogado.
He likes his school a lot.	Karuyag niya iton iya eskuylahan hin duro.
He likes his school a lot.	Karuyag gud niya iton iya eskuylahan.
He went to London in 1970.	Kumadto hiya ha London han tuig 1970.
He went to London in 1970.	Napakadto hiya ha London dida han 1970.
He's not breaking the law.	Diri hiya natalipas hiton balaud.
I can't live without a TV.	Diri ako mabubuhi hin waray TV.
I can't live without a TV.	Diri ako mailob hin waray TV.
I don't like living alone.	Nadiri ako mag-inusahan la.
I just hope it's not true.	Naglalaum ako nga unta diri iton tuod.
I planned a party for you.	Nagplano ak hin katitiruk para ha imo.
I really want to help you.	Karuyag ko gud nga buligan ka.
I study English at school.	Nag-aaram ako hin Ingles ha eskuylahan.
I think the pay is enough.	Iton akon pagkita isakto na iton nga bayad.
I thought I could do that.	Kasiring ko mahihimo ko iton.
I thought Tom would agree.	Kasing ko masige hi Tom.
I thought Tom would agree.	Kasing ko matangdo hi Tom.
I want to go to Australia.	Karuyag ko kumadto Australia.
If only he had been there.	Kun dinhi là untà hiyá.
It's neither good nor bad.	Diri iton maupay, diri liwat maraot.
Let's hope it still works.	Pag-laum kita naganar pa iton.
People are getting scared.	Nagkakahadlok iton mga tawo.
School begins at 8:10 a.m.	It klase nagtitikang alas-otso hit' ága.
She gave them some apples.	Gintagan niya hirá hin pira nga mansanas.
So, are you seeing anyone?	May-ada ka ginkakakíta nga iba?
Tell me where the wine is.	Sumati ako hain an bino.
That's the choice we made.	Amu iton an amon pinili.
That's the choice we made.	Amu iton an amun ginpili.
The baby needs his mother.	An bata kinahanglanun an iya iroy.
The tree blocked the road.	Nakakaulang an kahoy ha aragian.
There's nothing remaining.	Waray nasalin.
This isn't drinking water.	Dírì ini mairinom nga túbig.
Tom doesn't look too well.	Diri maupay iton itsura ni Tom.
Tom doesn't look too well.	Baga'n diri maupay yana hi Tom.
Tom is going to come back.	Mábálik hi Tom.
Tom is just a regular guy.	Hi Tom usa la nga ordinaryo nga lalake.
Tom isn't going to prison.	Diri mapripriso hi Tom.
Tom never listens to Mary.	Diri namamati hi Tom kan Mary.
Tom never listens to Mary.	Waray pagbali ni Tom kan Mary.
Tom passed away on Monday.	Namatay hi Tom han Lunes.
Tom passed away on Monday.	Tumalikod ha kadayonan hi Tom han Lunes.
Tom probably doesn't care.	Waráy gud ada labot ni Tom.
Tom was shot in the chest.	Napusil hi Tom ha dughan.
Tom wasn't just a teacher.	Diri la magturutdo hi Tom.
Tom wasn't just a teacher.	Hi Tom diri la maestro.
We've had some good times.	Marisyo la kami.
What did you think of Tom?	Ano an imo ginhuhuna-huna kan Tom?
What do you need that for?	Kay-ano kinahanglanon nimo iton?
What do you need that for?	Para ano man iton?
Where were you last night?	¿Nakaín ka kagab-i?
Will you show me the book?	¿Igpapakítà mo bà ha akon it libro?
You are no longer a child.	Diri ka na bata.
You can't hurt me anymore.	Diri mo na ako mapapa-ul-ulan.
You should be helping Tom.	Ginbubuligan mo unta hi Tom.
You should be helping Tom.	Dapat ginbubuligan nimo hi Tom.
You should be proud of me.	Ángay mo ak' igkahambog.
Your lives will be spared.	Matatalwas iton iyo kinabuhi.
Did you call me last night?	¿Gintawagan mo ako kagab-i?
Do you remember how we met?	¿Nakahinúmdom ka bà kun tiunan-o hi kitá nagkakilala?
Do you think you can do it?	¿It' im' pag-abat mahimo mo?
Don't worry, I can take it.	Ayaw kabaraka, ilob ko iton.
Don't worry, I can take it.	Ayaw kabaraka, kaya ko iton.
He is in front of the door.	Áada hiyá hiton atubángan hiton purtahán.
I am not concerned with it.	Waray ko labot hiton
I know nothing about music.	Waray ko maaram ha musika.
I lost my driver's license.	Nawará ko an ákòn lisensya pag-drayb.
I returned his book to him.	Gin-uli ko na an iya libro ha iya.
I think you don't trust me.	Pag-abat ko diri ka natapod ha akon.
I wish I could talk to you.	Unta nakakagkayakan ako ha imo.
I'll complain if I want to.	Mareklamo ako kun karuyagon ko.
I'm not sure what happened.	Dírì ak' sigurado ano an nahitabo.
I'm really angry right now.	Nag-iisog gud akó yanâ.
I've had too much to drink.	Subra-sobra an akon irimnon.
No one trusts him any more.	Waray na natapud ha iya.
Open your book to page ten.	Abrehi iton imo libro ha pahina dyes.
Open your book to page ten.	Paklia iton imo libro ha ika-dyes nga pahina.
She is a very refined lady.	Pino it' íya panggios nga babayi.
She plays tennis every day.	Nagmumulay hiya hin tennis kada adlaw.
The ditch is ten feet wide.	An hubang diyes piyes an kahalapad.
The engine would not start.	Iton makina diri tig-andar.
They probably hate me, too.	Bangin iguinkakadiri gihap nira ako.
This medicine may cure him.	Bángin makatambal ini nga bulong ha íya.
Tom says that won't happen.	Yinakan ni Tom dírì it' mahihitabo.
Tom thought Mary was alone.	Kasiring ni Tom nga nag-uusahan la hi Mary.
Wait until I'm done eating.	Hulát nga mahuman akó káon.
We need actions, not words.	Kinahánglan ta hin gios, dírì mga pulong.
What newspaper do you read?	¿Ano nga diyaryo it ímo ginbábása?
What's up with you and Tom?	Ano iton may-ada ha iyo ni Tom?
When are you picking it up?	¿San-o mo it' kuhaon?
When are you picking it up?	¿San-o mo man it' hapiton?
You are taller than she is.	Haruhataas ka ha íya.
Am I going to need a lawyer?	Manginginahanglan ako hin abogado?
Can you take a little break?	¿Puydi ka pumahuway hin gutìay anay?
Didn't you hear what I said?	¿Waray mo kabatii an akun ginsiring?
Didn't you hear what I said?	¿Waray mo kabatii an akun ginyakan?
Don't push the wrong button.	Ayaw tulpuka it sayup na tulpukan.
Don't you like Chinese food?	¿Diri mo karuyag it' pagkaon hiton mga Intsik?
Everyone refused to help me.	Waray bumulig ha akon.
Everyone refused to help me.	Ngatanan dumiri pagbulig ha akon.
He was delighted to see you.	Nahingaruyag hiyá nga nakit-an ka.
He was delighted to see you.	Nahingaruyag hiyá pagkita ha im'.
I crossed the river by boat.	Baluto an akon itinabok han salog.
I found this under your bed.	Nabilngan ko iní ha sírong han imo higdaan.
I found this under your bed.	Nabilngan ko iní ha sírong han imo katre.
I found this under your bed.	Nabilngan nakon iní ha sírong han imo higdaan.
I found this under your bed.	Nabilngan nakon iní ha sírong han imo katre.
I just want you to be happy.	Karuyag ko la nga magmalipayon ka.
I wanted to see you tonight.	Karuyag ko ikaw makit'an yana nga gab-i.
I won't go unless I have to.	Diri ako makadtu labot la hin kinahanglanun ko.
I'll be back by six o'clock.	Mabálik ako hit' ala-sais.
I'm the one who rescued you.	Ako an bumulig ha imo.
I'm the one who rescued you.	Ako an nag-salbar ha imo.
Is there anyone in the room?	¿May-ada ba iba na tawo ha imo kwarto?
